"","Dioriteporphyry","1","LA-ICPMSzirconU-Pbweightedaverage","","1530±025","Wangetal(2012c)"
"","Ores","5","MolybdeniteRe-Os","PT","143±03–148±03","Houetal(2009)"
"","","","","","",""
"","","","","","",""
"","Ores","1","Quartz40Ar/39Arisochron","I","139±09","Zhouetal(2011b)"
"","","","","R","",""
"","Ores","3","MolybdeniteRe-Os","","1496±023–1661±023","Wangetal(2012c)"
"","Ores","4","MolybdeniteRe-Os","","1443±008–1467±009","Zhouetal(2013)"
"","Ores","10","Pyrite-sphaleriteRb-SrisochronUSC","","139±09","Zhaoetal(2015)"
"","","","","","",""
"","","","","","",""
"Sharang","Pre-orequartzmonzoniteGranite","11","LA-ICPMSzirconU-PbweightedaverageLA-ICPMSzirconU-Pbweightedaverage","","531±06529±05","Zhaoetal(2014)Zhaoetal(2014)"
"","Graniteporphyry","2","LA-ICPMSzirconU-Pbweightedaverage","","529±04,526±05","Zhaoetal(2014)"
"","Porphyriticgranite","1","LA-ICPMSzirconU-Pbweightedaverage","","523±04","Zhaoetal(2014)"
"","Fine-grainedgraniteporphyry","1","LA-ICPMSzirconU-Pbweightedaverage","","516±04","Zhaoetal(2014)"
"","Ores","7","CEPTEDMAN","","5157±081–5269±077","Tangetal(2009a)"
"","Ores","13","","","5137±075–5245±075","Zhaoetal(2014)"
"Mingze","Granodiorite","1","SHRIMPzirconU-Pbweightedaverage","","284±04","Sunetal(2013)"
"","Monzonlite","1","SHRIMPzirconU-Pbweightedaverage","","304±06","Sunetal(2013)"
"","","","","","",""
"","","","","","",""
"","OresOres","41","Biotite40Ar/39Arplateau","","2990±044–3044±0442802±033","Sunetal(2013)Fanetal(2011)"
"","","","AC","","",""
"Tangbula","Graniteporphyry","1","LA-ICPMSzirconU-Pbweightedaverage","","1972±020","Wangetal(2010)"
"","Granodioriticporphyry","1","LA-ICPMSzirconU-Pbweightedaverage","","1988±038","Xiaetal(2010)"
"","Ores","5","MolybdeniteRe-Os","","195±02–226±03","Wangetal(2010)"
"Lakange","Ores","8","MolybdeniteRe-Os","","1320±020–1362±026","Lengetal(2015)"
"Nuri","Graniteporphyry","1","MC-ICPMSzirconU-Pbweightedaverage","","303±05","Chenetal(2015)"
"","Ores","9","MolybdeniteRe-Os","","2346±038–2477±036","Zhangetal(2012)"
"","Ores","2","ChalcopyriteRe-Os","","2494±035,2353±037","Wangetal(2014b)"
