"","","","ForestBiome","","","","PlainsBiome",""
"Item","","","","","","","",""
"","trajectories","frames","maxframes/traj","minframes/traj","trajectories","frames","maxframes/traj","minframes/traj"
"log","14,790","5,209,246","13,806","8","3,254","2,425,602","14,373","10"
"planks","16,452","16,452","1","1","3,647","3,647","1","1"
"stick","7,198","9,076","2","1","1,550","1,908","2","1"
"craftingtable","3,452","3,452","1","1","837","837","1","1"
"woodenpickaxe","2,972","408,056","2,263","72","685","97,529","2,328","106"
"cobblestone","3,047","1,704,098","13,107","180","681","341,737","6,681","184"
"stonepickaxe","2,729","414,750","4,473","57","607","86,806","2,486","108"
"ironore","2,177","6,498,252","14,833","200","461","1,394,251","12,783","235"
"furnace","1,879","280,604","7,912","86","362","55,101","2,885","28"
"ironingot","1,632","497,513","7,334","17","281","91,585","4,916","254"
"ironpickaxe","1,588","189,718","877","38","274","32,450","656","106"
"diamond","756","5,285,204","14,989","1,154","119","766,785","14,634","1,226"
"total","58,672","20,516,421","-","-","12,758","5,298,238","-","-"
