"Model","Size","NAT","SOC","LAN","TXT","IMG","NO","G1-6","G7-12","Avg"
"Human","-","9023","8497","8748","8960","8750","8810","9159","8242","8840"
"MCAN(Yuetal2019)","95M","5608","4623","5809","5943","5117","5540","5165","5972","5454"
"Top-Down(Andersonetal2018)","70M","5950","5433","6182","6290","5488","5979","5727","6216","5902"
"BAN(Kim,Jun,andZhang2018)","112M","6088","4657","6664","6261","5260","6551","5683","6394","5937"
"DFAF(Gaoetal2019)","74M","6403","4882","6355","6588","5449","6411","5712","6717","6072"
"ViLT(Kim,Son,andKim2021)","113M","6048","6389","6027","6320","6138","5700","6072","6190","6114"
"Patch-TRM(Luetal2021)","90M","6519","4679","6555","6696","5528","6495","5804","6750","6142"
"VisualBERT(Lietal2019)","111M","5933","6918","6118","6271","6217","5854","6296","5992","6187"
"UnifiedQABase(Khashabietal2020)","223M","6816","6918","7491","6378","6138","7784","7298","6500","7012"
"UnifiedQABasew/CoT(Luetal2022)","223M","7100","7604","7891","6642","6653","8181","7706","6882","7411"
"ChatGPT(GPT-35)","175B","7464","6974","7600","7444","6728","7742","7680","6889","7397"
"ChatGPT(GPT-35)w/CoT(Luetal2022)","175B","7544","7087","7809","7468","6743","7993","7823","6968","7517"
"MM-CoTBase(CLIP)","223M+151M","8797","8088","8736","8832","8478","8815","8634","8629","8632"
"MM-CoTBase(DETR)(Zhangetal2023b)","223M+60M","8752","7717","8582","8788","8290","8683","8465","8537","8491"
"DPMM-CoTBase","223M+83M","9272","8785","8991","9272","9048","9129","9145","9011","9097"
"MM-CoTLarge(DETR)(Zhangetal2023b)","738M+60M","9591","8200","9082","9526","8880","9289","9244","9031","9168"
"DPMM-CoTLarge","738M+83M","9552","9033","9136","9550","9326","9268","9328","9347","9335"
