"Sample","Mu5","Mu6","Mu7","Mu8","Mu11","Mu19","Mu23","Mu25","Mu31","XeMu"
"SiO2(%)","7592","7533","7589","7956","7776","7094","7126","7105","7588","5043"
"TiO2","027","024","023","016","025","033","034","040","025","126"
"Al2O3","1284","1292","1316","1120","1216","1408","1338","1377","1286","1819"
"Fe2O3","053","149","099","035","055","319","329","322","220","1200"
"MnO","002","003","001","002","004","006","010","008","000","022"
"MgO","147","155","076","086","154","192","236","190","105","708"
"CaO","032","038","055","024","030","033","025","046","009","037"
"Na2O","614","543","553","596","586","407","328","320","249","436"
"K2O","038","071","070","006","022","211","200","255","313","041"
"P2O5","005","005","005","004","004","007","007","008","002","017"
"H2O-","002","005","000","008","019","000","000","018","007","132"
"LOI","113","112","104","056","121","188","257","226","192","529"
"Total","9909","9930","9890","9907","10011","9897","9890","9914","9996","10110"
"V(ppm)","206","199","157","76","129","267","362","350","289","941"
"Cr","18","13","37","11","48","09","08","10","08","17"
"Co","741","275","317","385","374","144","266","166","178","116"
"Ni","27","17","28","20","23","08","09","12","06","18"
"Cu","23","10","12","155","16","14","24","37","167","30"
"Zn","403","193","100","232","206","474","962","913","251","2372"
"Ga","195","121","125","87","91","146","141","142","129","192"
"Rb","155","152","128","17","32","339","443","457","657","71"
"Sr","113","742","137","752","626","834","716","742","836","555"
"Zr","173","93","96","56","78","142","118","124","112","66"
"Nb","93","62","57","38","43","55","51","62","45","40"
"Cs","02","02","02","01","01","05","07","07","06","01"
"Ba","164","214","233","29","43","461","546","546","4708","119"
"Pb","29","08","13","09","09","21","51","36","83","41"
"Th","93","57","55","38","29","38","41","38","32","31"
"U","18","16","09","07","06","11","16","09","14","14"
"Y","131","105","107","68","63","113","83","130","76","165"
"La","133","203","823","949","699","987","116","162","115","240"
"Ce","456","388","187","263","186","239","223","288","231","431"
"Pr","439","361","209","260","215","224","212","310","221","484"
"Nd","163","120","770","955","778","840","737","1110","781","1851"
"Sm","273","198","140","180","156","157","105","223","120","333"
"Eu","0559","0603","0338","0327","0332","0454","0176","0708","0307","0679"
"Gd","255","174","151","149","123","173","110","211","106","318"
"Tb","0401","0268","0247","0202","0189","0273","0181","0335","0161","0449"
"Dy","252","173","179","117","123","197","140","232","116","300"
"Ho","0546","0396","0381","0258","0251","0429","0321","0448","0250","0635"
"Er","154","112","118","073","074","145","107","149","090","182"
"Tm","0239","0183","0196","0112","0117","0242","0155","0236","0145","0277"
"Yb","196","131","121","077","083","165","118","161","105","177"
"Lu","0291","0237","0188","0108","0120","0270","0192","0273","0158","0278"
"Hf","309","259","287","166","232","382","351","353","298","189"
"Ta","064","065","070","051","048","058","054","055","045","020"
"Eu/Eu*","065","100","071","061","073","085","050","100","084","064"
"(La/Yb)N","488","1112","488","883","604","428","708","722","785","976"
"(La/Sm)N","344","701","1050","1140","779","478","562","410","3060","186"
