"","","","","","","","","","","","","TABLE3(continued)","","","","",""
"","","TenienteVolcanicComplex(FarellonesFormation)","","","","","","","","","","","","","","",""
"","","","MaquiChicoGroup","","","","","","LowerSewellGroup","","","","","","","UpperSewellGroup",""
"","Aravena","","","MChicoGuanaco","","","","Castillo","","Sewell","Sewell","Castillo","","Sewell","Sewell","Durazno","Sewell"
"Sample","KET-74","KET-69","KET-52","KET-25","TTE-75","TTE-72","","KET-157A","","TTE-70","KET-29","KET-156","","KET-113KET-110KET-207KET-139AKET-144","","",""
"SiO2","4775","5110","5647","6370","7053","7452","","5342","","5359","5990","6463","","5366","5539","5876","5973"
"TiO2","098","120","093","057","020","019","","104","","109","083","063","","103","093","086","070"
"Al2O3","1659","2037","1837","1754","1390","1385","","1893","","1745","1796","1551","","1864","1827","1849","1962"
"FeO*","788","837","702","414","132","124","","779","","864","528","530","","810","659","536","503"
"MnO","022","019","017","010","006","004","","014","","014","009","010","","019","014","008","006"
"MgO","232","287","345","138","036","022","","358","","436","186","139","","333","396","260","161"
"CaO","921","1079","717","371","157","151","","813","","751","510","413","","701","741","656","519"
"Na2O","304","313","369","434","361","380","","425","","342","439","330","","440","426","448","436"
"K2O","214","037","101","286","384","354","","119","","198","217","286","","129","140","196","223"
"P2O5","020","022","020","019","007","008","","021","","026","020","016","","030","023","008","017"
"volatiles","898","065","116","100","408","077","","059","","090","093","101","","092","075","","081"
"Total","9931","9926","9964","9953","9954","9976","","9927","","9934","9871","9902","","9887","9933","9924","9951"
"La","100","88","160","214","172","185","","134","","154","138","185","","151","136","187","195"
"Ce","223","210","349","374","297","298","","270","","320","298","369","","319","296","400","394"
"Nd","143","141","200","190","95","101","","156","","201","155","183","","182","160","255","212"
"Sm","394","417","510","433","180","182","","413","","505","397","454","","439","401","483","461"
"Eu","107","127","110","099","041","042","","115","","108","091","096","","120","101","121","104"
"Tb","0546","0559","0650","0530","0189","0175","","0538","","0671","0530","0633","","0551","0443","0605","0508"
"Yb","176","181","190","208","085","085","","170","","222","183","252","","165","129","167","148"
"Lu","0261","0245","0273","0300","0130","0122","","0245","","0316","0280","0358","","0220","0180","0243","0219"
"Rb","104","8","32","104","100","93","","26","","64","78","75","","30","36","","68"
"Sr","270","520","470","360","240","220","","540","","450","380","270","","560","580","621","540"
"Ba","520","280","240","470","530","510","","300","","320","660","370","","390","350","511","490"
"Pb","2","<1","21","1","0","12","13","","2","","3","10","24","","8","4","8"
"Cs","84","03","14","129","73","52","","07","","58","36","20","","07","09","26","29"
"U","05","05","19","25","39","38","","07","","18","19","23","","11","12","22","22"
"Th","21","17","63","101","134","130","","27","","69","63","91","","39","40","72","79"
"Hf","20","20","40","42","80","69","","27","","53","45","43","","35","30","43","43"
"Sc","20","23","18","8","2","2","","21","","23","15","13","","16","17","15","11"
"Ta","021","023","059","069","047","044","","023","","033","068","038","","022","039","033","037"
"Cr","19","20","38","12","5","5","","22","","58","9","23","","<5","85","31","126"
"Ni","9","20","72","25","1","1","","22","","32","9","23","","4","85","22","126"
"Co","25","44","38","21","2","1","","24","","28","35","26","","20","32","18","15"
"FeO/","340","292","203","300","366","563","","218","","198","284","381","","243","166","206","312"
"MgO","","","","","","","","","","","","","","","","",""
"Ba/La","518","318","150","220","308","276","","224","","208","478","200","","258","257","273","251"
"La/Sm","25","21","31","49","96","102","","32","","30","35","41","","34","34","39","42"
"Eu/Eu*","089","100","072","077","082","085","","093","","071","076","069","","092","088","084","079"
"Sm/Yb","224","230","268","208","212","214","","243","","227","217","180","","266","311","289","311"
"La/Yb","57","49","84","103","202","218","","79","","69","75","73","","92","105","112","132"
"Ba/Ta","2476","1217","407","677","1123","1167","","1288","","973","971","974","","1741","888","1567","1321"
"La/Ta","48","38","27","31","36","42","","57","","47","20","49","","67","35","57","53"
"Th/U","44","32","33","41","34","34","","36","","38","33","40","","36","33","33","36"
