"","","","CoyaMachalí(Abanico)Formation","","","","","","","Farellonesarea","","",""
"","","","","Fresh","Altered","","","","","33°20′to33°32′S,70°16′to70°19′W","","",""
"Sample","CM-11","CM-8","CM-5","CM-7B","CM-7A","CM-4","ETP-10B","TF-4","TF-7","TF-3","TF-10","TF-2","TF-11"
"SiO2","5066","5641","5930","6095","5990","6696","5769","5062","5232","5352","5577","5990","6096"
"TiO2","124","120","092","116","115","075","082","106","105","098","095","104","090"
"Al2O3","1871","1757","1787","1667","1680","1677","1847","1942","1810","1855","1809","1708","1699"
"FeO*","951","806","773","813","819","472","604","832","937","881","772","666","651"
"MnO","023","014","019","016","020","006","012","014","025","021","017","014","015"
"MgO","370","238","276","193","249","118","332","541","496","314","374","240","229"
"CaO","1030","661","702","433","523","564","816","961","877","734","720","570","584"
"Na2O","334","455","381","483","423","287","465","347","373","409","390","446","406"
"K2O","024","159","017","148","154","086","048","093","103","157","138","192","209"
"P2O5","029","048","022","035","028","019","026","025","019","026","019","033","022"
"Volatiles","","","","","","","","","","","","",""
"Total","9822","9899","10000","10000","10000","10000","10000","9923","9976","9847","9911","9963","10001"
"La","124","210","91","135","138","222","58","92","119","132","134","196","159"
"Ce","300","495","225","329","332","544","141","222","281","314","307","469","351"
"Nd","185","317","131","204","200","283","91","139","166","195","185","266","194"
"Sm","450","729","366","553","539","749","257","337","422","490","423","631","448"
"Eu","130","202","119","163","160","207","086","103","113","130","110","159","112"
"Tb","0741","1098","0649","0919","0997","1324","0413","0490","0715","0853","0637","0912","0708"
"Yb","252","388","239","337","361","490","142","148","270","295","237","290","265"
"Lu","0359","0545","0316","0475","0515","0687","0217","0211","0375","0397","0334","0420","0357"
"Rb","","","","","","","","","","","","",""
"Sr","417","396","429","388","403","340","647","677","439","387","379","385","312"
"Ba","146","465","146","535","494","223","218","256","466","524","391","602","477"
"Pb","","","","","","","","","","","","",""
"Cs","02","03","01","04","04","40","03","02","07","05","12","09","10"
"U","08","13","04","09","09","14","14","04","10","12","13","19","22"
"Th","22","38","14","26","26","49","53","15","31","38","39","58","65"
"Hf","27","45","24","34","35","63","42","20","32","39","34","48","41"
"Sc","32","23","21","29","28","19","14","28","36","29","22","20","19"
"Ta","042","054","017","028","027","060","036","012","020","027","028","046","037"
"Cr","43","3","2","1","1","<1","2","54","142","35","15","13","5"
"Ni","11","7","<1","4","4","<1","8","27","21","10","6","11","4"
"Co","28","16","17","13","13","6","9","32","33","24","24","15","17"
"FeO/MgO","257","339","280","421","329","400","182","154","189","281","206","278","284"
"Ba/La","118","221","161","395","358","101","377","278","391","398","291","307","299"
"La/Sm","28","29","25","24","26","30","23","27","28","27","32","31","36"
"Eu/Eu*","089","088","097","090","088","083","104","098","081","080","082","081","078"
"Sm/Yb","178","188","153","164","149","153","181","227","156","166","178","217","169"
"La/Yb","49","54","38","40","38","45","41","62","44","45","57","68","60"
"Ba/Ta","351","860","838","1896","1838","370","608","2216","2304","1953","1420","1314","1307"
"La/Ta","30","39","52","48","51","37","16","80","59","49","49","43","44"
"Th/U","29","30","38","30","28","36","38","36","31","32","29","31","30"
"Age(Ma)","","205±08","","232±07","","","","","","","","",""
