"Fe2O3","1149","6460","6586","1815","3939","1317","1180","1069","1083","763","956","1554"
"MnO","012","031","031","021","025","013","011","017","016","024","025","022"
"MgO","1868","786","707","1569","2384","1795","1804","604","614","345","392","547"
"CaO","1853","016","004","1378","061","1691","1838","1009","921","880","911","1196"
"Na2O","009","006","009","124","008","005","003","333","376","474","445","283"
"K2O","004","002","002","126","003","001","001","123","131","156","140","082"
"P2O5","002","002","001","180","007","041","003","040","040","053","055","070"
"LOI","015","013","008","232","054","571","021","310","289","058","025","115"
"Mg-no","76","20","18","63","56","73","75","53","53","47","45","41"
"Total","10036","","10013100309686","","9944","9476","9874","10055","10092","","100661005710072",""
"P2O5/K2O199","","3127","312","069","077","124","358","","","","",""
"","Traceelement(ppm)","","","","","","","","","","",""
"Cu","21200","","16200221006050","","1980","49900","49200","6763","6412","4044","5456","5219"
"Cr","177","1440","4630","63","51","4640","946","76","63","46","39","65"
"La","255","293","027","3080","310","192","1180","2950","2930","6480","237001900",""
"Ce","820","828","060","6840","783","346","2850","5860","5790","","14000431004310",""
"Pr","174","156","008","1060","157","050","460","672","666","1750","4410","597"
"Nd","1020","841","035","4990","907","221","2250","2690","2690","7260","153002790",""
"Sm","307","236","008","1100","278","056","547","493","507","1390","2260","592"
"Eu","100","083","003","373","143","018","169","174","169","405","464","268"
"Gd","319","241","008","987","284","050","505","471","478","1156","1884","553"
"Tb","044","035","001","135","043","007","072","074","076","184","262","081"
"Dy","217","171","006","604","222","037","338","421","422","955","1240","411"
"Ho","038","031","001","114","043","007","064","081","088","174","225","076"
"Er","087","068","003","269","107","016","149","240","244","461","623","191"
"Tm","010","008","000","029","014","002","017","035","034","061","081","022"
"Yb","062","045","003","171","081","012","089","210","213","348","497","134"
"Lu","008","006","001","023","011","002","012","031","031","049","075","019"
"ΣREE","3462","3042","164","19777","3381","1015","8701","14402","14339","34673","94121","11945"
"V","868","313","2190","431","368","1020","295","246","241","238","251","403"
"Ni","11900","","42400742007130","","11300","","1170001070005580","","5220","1860","1320","7590"
"Cu","21200","","16200221006050","","1980","49900","49200","6763","6412","4044","5456","5219"
"Ge","143","148","096","137","151","093","157","158","158","225","258","179"
"Rb","050","042","012","3430","3950","063","060","7660","8630","4520","4400","564"
"Sr","88","55","4","992","1260","14","68","887","905","834","810","520"
"Y","903","820","079","2740","1120","382","1610","2270","2290","4700","6120","1910"
"Zr","5510","3170","2040","8690","3160","3080","7280","12900","12900","","32000865006170",""
"Nb","1030","072","353","1640","532","275","591","2030","2030","","13300194001710",""
"Ba","15","4","2","604","425","12","5","545","563","702","679","334"
"Hf","239","129","074","264","125","098","247","322","323","796","1920","203"
