"","Tab3Prompttemplatedesigning"
"场景预设","你是专业的AI助手，根据给定信息回答用户提问。回答时逐步思考，若依给定知识无法回答，只需说明"
"&","给定信息不足，绝对禁止编造。已知信息(information)，用户提问(query)。"
"知识注入",""
"","执行分析事故报告任务，从“事故概况、事故原因、责任分析、事故影响及预防、总结与建议”等多方面合"
"事故分析",""
"","理分析。"
"","Q1:请分析2007年湘西凤凰塌桥事故"
"","A1:"
"","1事故概括：时间-2007年8月13日；地点-湖南省湘西凤凰县；环境条件-堤溪沱江大桥建设中；事故等"
"","级-严重责任事故；伤亡-64人死亡，22人受伤；直接经济损失-39747万元。"
"","2责任分析：调查认定施工、建设单位严重违规，监理单位、质量监督部门失职，湘西自治州和凤凰县两"
"问答模板",""
"","级政府及湖南省交通厅、公路局监管不力。"
"","3事故原因：大桥主拱圈砌筑材料未满足规范和设计要求，施工工序不合理，主拱圈砌筑质量差，降低了"
"","结构整体性和强度，随着施工荷载增加导致坍塌。"
"","4事故影响：人员伤亡及直接经济损失。"
"","5事故预防：提升工程管理和现场监管，完善设计审查流程，强化责任意识等。"
