"（格式规范）","【政府事故调查结果通知】","太阳岛洗浴中心事故的政府事故调查结果"
"按照政府公文","尊敬的各相关方：","通知"
"的写作规范，发","根据《生产安全事故报告和调查处理条例》，经过对驻","[日期]"
"布一份关于太","马店市开发区太阳岛洗浴休闲会馆事故进行全面调查，","尊敬的市民："
"阳岛洗浴中心","现将调查结果通知如下：","根据国家法律法规和《政府信息公开条"
"事故的政府事","一、事故概况：2021年11月18日16时57分，太阳岛","例》，为向社会公众及时、公正、公开地通"
"故调查结果通","洗浴休闲会馆男浴区桑那房内的桑那炉发生爆炸，造成","报太阳岛洗浴中心事故的调查结果，将事"
"知。","3人死亡，3人受伤，直接经济损失约500万元。","故详细调查情况通告如下："
"","二、事故调查经过：1事故发生前，太阳岛会馆正处于翻","一、事故基本情况"
"","新装修施工的尾声，计划于11月19日开业。2事发当","2022年月日，太阳岛洗浴中心发生火灾事"
"","日，工作人员某某1调试设施设备时，打开了男浴区桑","故。事故发生后，市政府立即启动应急响"
"","那炉控制开关，并调试温度在65度-68度之间自动控温。","应，组织消防、安监、公安等相关部门全力"
"","3然而，由于未及时发现和消除桑拿炉存在的安全隐患，","展开救援和调查工作。"
"","导致爆炸事故的发生。","二、事故原因"
"","三、事故原因分析：1太阳岛洗浴休闲会馆在装修施工","经过调查，事故的直接原因是洗浴中心内"
"","期间未能严格按照安全生产规定进行管理，未落实安全","部设施设备存在安全隐患，加之管理不善，"
"","生产主体责任，未督促指导沐浴场所落实安全管理规定。","未能采取有效措施加以防范。具体原因包"
"","2太阳岛洗浴休闲会馆未能加强沐浴行业安全日常检","括（但不限于）：设备老化、维护不善、员"
"","查，未及时消除事故隐患。3太阳岛洗浴休闲会馆对桑","工培训不足、应急预案不健全等。"
"","拿炉存在的安全隐患未能及时发现和处理，导致爆炸事","三、事故处理措施"
"","故的发生。","1责任追究：对相关责任人进行严肃问责，"
"","四、责任追究：根据调查结果，对驻马店市开发区太阳","追究其领导责任和监管责任。"
"","岛洗浴休闲会馆的管理部门、相关责任人员存在管理不","2安全整改：对全市范围内的洗浴、娱乐等"
"","到位、监管不力等问题，将依法进行相应责任追究。","场所进行全面排查，督促整改存在的安全"
"","五、安全隐患整改：驻马店市开发区将加强对沐浴行业","隐患。"
"","的管理工作，督促沐浴场所落实安全生产主体责任和相","3加强监管：加大对公共场所的日常监管"
"","关安全管理规定，加强日常检查，及时消除事故隐患，","力度，确保市民生活、娱乐场所的安全。"
"","确保公众的安全和利益。","4加强宣传教育：加强火灾、安全知识的宣"
"","六、救援和善后工作：事故发生后，市委市政府成立了","传，提高市民的自防能力。"
"","事故抢险救援指挥部，组织了现场救援、调查和善后处","五、结语"
"","置工作，全力排查安全隐患，防范发生次生事故，同时","政府将一如既往地高度重视人民群众的生"
"","组织医疗救治工作，确保受伤人员得到及时救治。","命财产安全，对于类似事故将继续加大监"
"","七、倡议：广大市民和相关单位加强安全意识，严格按","管力度，切实保障市民的生命和财产安全。"
"","照安全生产规定进行管理，共同维护社会的安全稳定。","感谢广大市民对政府工作的理解和支持，"
"","特此通知。","也请大家加强自身安全意识，共同维护社"
"","驻马店市政府日期：XXXX年XX月XX日","会安定与和谐。"
"","","特此通知。"
"","","[政府机关名称][日期]"
