"","objects","entities","item","taskinstructionproposal"
"1","flowergrassgrassblockplant","cowsheep","bucket","milkentities"
"2","grassgrassblockplant","(nothing)","bucket","wateringplants"
"3","dirtflowergrassgrassblockwater","cow","bucket","watertheflower"
"4","dirtgrassgrassblockplant","cow","bucket","milkacow"
"5","flowergrassgrassblockplant","cowsheep","bucket","waterthecow/sheep"
"6","flowergrassgrassblockplantwater","chickensheep","shears","Shearthesheep"
"7","grassgrassblockplant","sheep","shears","shearasheep"
"8","grassgrassblockplant","(nothing)","shears","cutgrass"
"9","dirtflowergrassgrassblockplant","sheep","shears","shearasheep"
"10","flowergrassgrassblockplant","pigsheep","shears","shearanimals"
"11","flowergrassgrassblockplantwater","(nothing)","(nothing)","drinkwater"
"12","grassgrassblock","(nothing)","(nothing)","observe"
"13","plant","(nothing)","(nothing)","observeplants"
"14","dirtgrassgrassblockstonewater","(nothing)","(nothing)","explore"
"15","flowergrassgrassblockplant","sheep","(nothing)","shepherdsheep"
"16","grassgrassblockleaveswood","(nothing)","(nothing)","explore"
"17","grassgrassblockleaveswood","pig","(nothing)","chaseapig"
"18","grassgrassblockleaveswood","(nothing)","(nothing)","gatherobjects"
"19","dirtgrassgrassblockleavesstonewood","(nothing)","(nothing)","collectdirt"
"20","dirtgrassblockleaveswood","(nothing)","(nothing)","walktowardsnearestobject"
"21","flowergrassgrassblockplantwater","chickencowsheep","diamondsword","killachicken"
"22","grassgrassblockplant","cow","diamondsword","killcow"
"23","plant","(nothing)","diamondsword","harvestplant"
"24","dirtgrassgrassblockplant","cow","diamondsword","attackcow"
"25","grassgrassblockplant","cowpigsheep","diamondsword","huntananimal"
"26","flowergrassgrassblockplantwater","chickensheep","diamondsword","herdanimals"
"27","grassgrassblockplant","sheep","diamondsword","shearsheep"
"28","dirtflowergrassgrassblockplantwater","(nothing)","diamondsword","killaplant"
"29","dirtgrassgrassblockplant","sheep","diamondsword","killasheep"
"30","grassgrassblockplant","sheep","diamondsword","shearasheep"
"31","flowergrassgrassblockplantwater","sheepspider","diamondsword","killaspider"
"32","grassgrassblockplant","spider","diamondsword","killspider"
"33","grassgrassblockplant","(nothing)","diamondsword","(nothing)"
"34","dirtflowergrassgrassblockplant","spider","diamondsword","killspider"
"35","grassgrassblockplant","sheepspider","diamondsword","killspider"
"36","flowergrassgrassblockplantwater","chickenzombie","diamondsword","combatazombie"
"37","grassgrassblockplant","zombie","diamondsword","combatzombie"
"38","grassgrassblockplant","(nothing)","diamondsword","Harvestgrass"
"39","dirtflowergrassgrassblockplant","zombie","diamondsword","slayzombie"
"40","grassgrassblockplant","zombie","diamondsword","killthezombie"
