"","Table5RepresentativeresultsoftheREEmeltingmodelforMarianalavas","","","",""
"Sample","SED","DMM","TM-06-243","TM-06-236","TM-06-34"
"Description","–","–","CVR","CVR","L-SCVR"
"MgO","–","–","57","56","37"
"La","128","019","741(07)","612(-02)","745(07)"
"Ce","205","055","154(03)","135(44)","157(00)"
"Nd","133","058","103(-19)","896(-44)","109(-19)"
"Sm","288","024","294(-05)","262(-36)","320(01)"
"Eu","075","010","099(00)","098(01)","108(00)"
"Gd","263","036","346(10)","310(-16)","383(13)"
"Dy","238","051","369(08)","329(-15)","413(03)"
"Er","127","035","220(06)","196(-03)","247(03)"
"Yb","112","037","209(05)","186(37)","234(05)"
"Lu","017","006","033(-15)","029(25)","037(-13)"
"Sediment(%)","–","–","21","13","19"
"Melting(%)","–","–","43","29","55"
"Oliv/Mt(%)","–","–","?163","?97","?45"
"Cpx(%)","–","–","-44","-22","-120"
"Plag(%)","–","–","-226","-07","-216"
"Frac/Accum(%)","–","–","-107","?68","-290"
"RR2","–","–","9","77","8"
"","RepresentativemodelresultsfortheCVR,","","","",""
"","mixtureofODPSite801sedimentanddepletedmantle(representedbyDMM)Theassumedsedimentcomposition(SED)usedforthemodel","","","",""
"","unusuallysmallamountsofsediment,excessivecrystalfractionation,andpoorRR2values),whichisconsistentwiththeideathat","","","",""
"","trench(Wadeetal2005)TheREEabundancesofDMMcomefromWorkmanandHart","","","",""
"","fromCaO/Al2O3asdescribedearlier)Second,","","","",""
"","parameters(mantle-sedimentmixingproportions,degreeofpartialmeltingof","","","",""
"concentrationofeachREEshowninparenthesesas1009[(calculatedabundance/observedabundance)-1]Frac/accum(%)","","","","",""
"fractionationand/oraccumulationfor","","","themodel","",""
