"Sample","Y","Hf","U","Th","Pb","Ga","Cu","Zn","Sc","V","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu"
"Ardley and King George Islands","","","","","","","","","","","","","","","","","","","","","","","",""
"990114003","16","2.0","0.8","2.0","5","22","74","87","17","213","10.30","24.00","n.d.","12.00","3.30","1.21","n.d.","0.61","n.d.","n.d.","n.d.","n.d.","1.30","0.18"
"990112001","11","n.d.","0.6","3.0","3","19","108","55","27","273","4.00","12.00","n.d.","9.00","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d."
"990112003","19","n.d.","1.5","3.5","4","21","81","86","16","171","12.00","30.00","n.d.","17.00","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d."
"990112010","21","n.d.","1.0","4.5","9","22","101","95","22","211","14.00","35.00","n.d.","17.00","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d."
"AF-5","10","1.0","0.6","2.5","5","20","64","31","26","167","6.24","13.88","1.70","8.76","2.15","0.63","1.57","0.27","1.86","0.30","0.93","0.14","1.06","0.16"
"AF-14","12","1.5","0.3","1.0","5","24","113","34","31","319","6.45","14.00","1.82","9.68","2.76","0.92","2.36","0.39","2.34","0.45","1.27","0.16","1.08","0.20"
"Greenwich Island","","","","","","","","","","","","","","","","","","","","","","","",""
"HA-1.1","13","1.0","0.2","1.0","5","23","5","11","26","73","5.22","12.17","1.61","8.72","2.19","0.94","2.05","0.39","2.46","0.44","1.26","0.16","1.47","0.20"
"HA-8.2A","24","6.5","2.8","5.8","12","18","100","57","18","160","18.81","40.42","4.44","20.94","5.06","1.13","4.97","0.81","4.51","0.90","2.83","0.40","2.84","0.45"
"HA-19.1","26","6.5","n.d.","5.5","n.d.","n.d.","n.d.","n.d.","23","183","12.11","24.15","2.52","11.34","2.69","0.72","2.65","0.41","2.15","0.44","1.39","0.21","1.47","0.22"
"HA-20","22","4.0","1.5","8.8","8","16","42","71","12","90","17.39","34.86","3.60","16.19","3.62","0.98","3.66","0.61","3.13","0.64","1.95","0.29","2.03","0.34"
"HY-4","30","5.0","3.0","9.0","9","23","171","2","21","162","22.70","46.05","5.16","25.01","6.60","1.21","4.81","0.92","5.61","1.08","2.73","0.43","3.27","0.53"
"PA-8.1A","14","1.5","0.5","2.5","5","13","49","40","33","193","8.13","17.91","2.37","12.00","2.90","0.93","2.32","0.51","2.66","0.55","1.46","0.17","1.34","0.23"
"Livingston Island","","","","","","","","","","","","","","","","","","","","","","","",""
"98011501","27","2.0","0.2","1.0","5","21","140","88","43","442","6.30","15.30","2.24","11.70","3.60","1.43","4.30","0.70","4.60","1.00","3.00","0.45","2.80","0.44"
"98012002","20","2.0","0.2","1.0","5","17","33","57","31","273","7.20","17.30","2.47","12.30","3.60","1.28","3.70","0.60","3.50","0.70","2.00","0.31","2.00","0.29"
"98012202","10","1.0","0.2","1.0","5","15","57","53","27","237","4.50","10.70","1.50","7.60","2.10","0.87","2.10","0.30","1.80","0.40","1.00","0.14","0.90","0.13"
"98012301","36","4.5","1.0","5.0","7","19","10","91","24","97","18.50","40.80","5.31","25.70","6.10","1.83","6.60","1.00","6.10","1.30","3.60","0.55","3.40","0.55"
"98012501","25","3.0","n.d.","2.5","n.d.","n.d.","38","78","24","189","10.00","25.00","n.d.","16.00","3.70","1.26","3.98","0.58","4.72","0.96","2.65","n.d.","2.70","0.40"
"Robert
Island","","","","","","","","","","","","","","","","","","","","","","","",""
"96020701","18","2.0","1.5","2.0","5","18","108","71","20","250","13.90","30.40","n.d.","18.30","4.46","1.30","n.d.","0.91","n.d.","n.d.","n.d.","n.d.","1.59","0.21"
"96022001","16","n.d.","1.0","0.5","2","19","72","65","28","270","3.00","15.00","n.d.","9.00","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d."
"96022005","13","1.0","0.3","2.0","1","18","80","58","26","221","4.90","11.00","n.d.","6.24","2.08","0.79","n.d.","0.38","n.d.","n.d.","n.d.","n.d.","1.31","0.21"
"96022302","10","n.d.","1.5","2.5","2","18","83","61","34","270","5.00","20.00","n.d.","9.00","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d."
