"","ParameterSharing","","","Non-ParameterSharing"
"","LBF","RWARE","LBF","RWARE"
"Hiddendimension","64","64","64","64"
"Networktype","GRU","FC","GRU","FC"
"Mixingnetworksize","32","32","32","32"
"Mixingnetworktype","FC","FC","FC","FC"
"Mixingnetworkactivation","ReLU","ReLU","ReLU","ReLU"
"Hypernetworksize","64","64","64","64"
"Hypernetworkactivation","ReLU","ReLU","ReLU","ReLU"
"Hypernetworkslayers","2","2","2","2"
"Learningrate","00003","00005","00001","00003"
"Rewardstandardisation","True","True","True","True"
"Evaluationepsilon","005","005","005","005"
"Targetupdate","001(soft)","001(soft)","001(soft)","001(soft)"
