"Table2Rb–Sr,Sm–Nd,andPbisotopiccompositionsforTinaquilloPeridotiteComplex,northernVenezuela","","","",""
"[Sr]ppm","87Rb/86Sr","87Sr/86Sr±2r","[Sm]ppm","[Nd]ppm"
"095","00535","–","008","017"
"–","–","070577±32","–","–"
"–","–","070666±89","–","–"
"–","–","070277±4","006","029"
"529","00143","070292±2","018","040"
"237","00087","070357±9","012","028"
"–","–","–","–","–"
"–","–","070221±2","–","–"
"–","–","070353±11","094","033"
"–","–","070343±12","–","–"
"–","–","070355±9","022","043"
"–","–","070338±9","014","035"
"22532","00088","070231±14","244","610"
"–","–","070263±2","133","263"
"–","–","070256±5","108","200"
"48488","00039","070253±2","241","993"
"–","–","070251±1","259","1089"
"","eNdiscalculatedwith(143Nd/144Nd)CHUR=0512638TDMiscalculatedwiththeDMparametersof147Sm/144Nd=02124and143Nd/144Nd=0513114","","",""
"","ccleanseparates,ddirtyseparates,wrwhole-rock,cpxclinopyroxene,ampamphibole","","",""
