"Rocktype","Sample","Analysed","87Sr/86Sr","143Nd/144Nd"
"","","fraction","",""
"","Anhydrousperidotitexenoliths","","",""
"Hz","TL1","cpx","070368","051292"
"Lh","TL14","cpx","070213","051339"
"Hz","TL15","cpx","070290","051283"
"Lh(cpxpoor)","TL16","cpx","070413","051295"
"Lh","TL20","cpx","070298","051310"
"Lh","TL20","pl","070250",""
"Lh(cpxpoor)","TL22","cpx","070302","051305"
"Hz","TL24","cpx","070476","051250"
"Lh","TL26","cpx","070351","051297"
"Lh","TL45","cpx","070272","051313"
"Lh","TL45","pl","070265",""
"Hz","TL52","cpx","070296","051301"
"Lh","TL53","cpx","070312","051306"
"Hydrousopx-richxenoliths","","","",""
"Ol–orth","TL8","wr","070856","051211"
"Hz","TL23","cpx","070692","051213"
"Hz","TL23","pl","070672",""
"Hostlavas","","","",""
"Alkaline","TL8M","wr","070430","051274"
"basalt","","","",""
"Alkaline","TL51M","wr","070450","051272"
"basalt","","","",""
"Alkaline","B304","wra","070454","051259"
"basalt","","","",""
"Alkaline","1a","wrb","070437",""
"basalt","","","",""
"Alkaline","1b","wrb","070437",""
"basalt","","","",""
