"","TL1","","","TL16","","","","","","TL20","","","TL22","","","TL45","",""
"","Harzburgite","","","Lherzolite","","","","","","Lherzolite","","","Lherzolite","","","Lherzolite","",""
"","cpx","","","cpx","","","","opx","","cpx","","","cpx","","","cpx","",""
"Rb","< 0.08","0.06","0.11","< 0.04","< 0.05","0.14","0.16","< 0.04","< 0.03","< 0.04","0.06","< 0.03","< 0.049","< 0.04","< 0.04","< 0.03","0.06","< 0.03"
"Ba","< 0.04","0.19","0.09","< 0.04","< 0.05","0.09","0.14","< 0.04","< 0.04","0.09","< 0.04","< 0.03","< 0.04","0.12","< 0.03","< 0.04","0.10","< 0.03"
"Sr","64.4","73.2","65.2","35.2","49.8","41.3","37.6","0.27","0.05","8.89","8.71","8.71","53.3","49.6","53.5","7.46","8.60","8.53"
"Y","13.4","13.2","13.1","7.66","8.61","8.01","8.19","0.57","0.40","22.7","25.7","27.4","13.9","14.5","14.6","31.5","29.5","31.9"
"Zr","32.5","31.4","32.0","8.05","7.99","6.90","8.53","0.53","0.12","37.9","37.8","42.3","33.1","32.8","32.7","61.4","61.4","64.4"
"Hf","0.96","1.08","1.08","0.26","0.35","0.20","0.28","0.02","0.04","1.49","1.08","1.50","1.07","1.06","1.05","1.70","1.63","1.86"
"Nb","0.39","0.54","0.29","0.61","0.58","0.51","0.57","0.03","0.01","0.02","0.04","0.05","0.13","0.18","0.10","0.19","0.11","0.15"
"Ta","0.09","0.09","0.07","0.09","0.13","0.12","0.09","< 0.002","< 0.002","0.01","0.01","0.01","0.04","0.03","0.03","0.06","0.05","0.05"
"La","3.03","1.43","2.91","2.56","1.24","2.79","2.91","0.16","0.10","1.06","1.15","1.07","1.32","2.07","1.52","1.30","1.36","1.18"
"Ce","7.12","4.71","5.94","3.98","3.09","4.42","4.40","0.22","0.21","4.41","5.64","4.96","3.80","4.55","4.07","5.83","5.32","5.15"
"Pr","1.07","0.85","0.86","0.46","0.47","0.49","0.45","0.02","0.02","0.85","1.06","0.99","0.71","0.79","0.69","1.24","1.13","1.11"
"Nd","5.56","5.09","4.75","1.67","2.17","2.09","2.04","0.04","0.05","5.22","6.64","6.08","4.31","4.65","4.31","7.86","6.85","7.34"
"Sm","1.93","1.71","1.64","0.64","0.73","0.74","0.57","0.04","0.01","2.33","2.73","2.50","1.55","1.74","1.63","3.48","2.81","3.00"
"Eu","0.73","0.64","0.73","0.24","0.33","0.33","0.29","0.01","< 0.005","0.73","0.87","0.86","0.74","0.68","0.70","1.07","0.85","0.97"
"Gd","2.26","2.23","2.06","0.93","1.21","1.01","1.02","< 0.03","< 0.02","3.19","3.42","3.44","2.00","2.27","2.20","4.17","3.96","4.31"
"Tb","0.43","0.45","0.43","0.21","0.24","0.22","0.21","0.00","0.01","0.60","0.73","0.78","0.42","0.44","0.43","0.83","0.77","0.84"
"Dy","2.63","2.59","2.59","1.40","1.53","1.57","1.42","0.07","0.04","3.94","4.61","4.72","2.80","2.69","2.75","5.72","4.74","5.48"
"Ho","0.56","0.60","0.59","0.33","0.39","0.41","0.38","0.02","0.02","0.91","1.08","1.12","0.57","0.66","0.61","1.29","1.15","1.20"
"Er","1.43","1.47","1.56","0.98","1.11","1.15","1.05","0.09","0.10","2.53","2.82","2.78","1.64","1.68","1.64","3.23","2.72","3.10"
"Tm","0.22","0.21","0.23","0.15","0.20","0.17","0.17","0.02","0.03","0.38","0.43","0.40","0.22","0.26","0.26","0.50","0.45","0.47"
"Yb","1.38","1.50","1.55","1.09","1.41","1.06","1.13","0.20","0.17","2.39","2.74","2.65","1.74","1.61","1.64","3.06","2.75","3.07"
"Lu","0.21","0.20","0.20","0.14","0.20","0.17","0.16","0.04","0.03","0.35","0.38","0.33","0.24","0.22","0.22","0.40","0.39","0.42"
"Pb","0.14","0.08","0.13","0.09","0.05","0.35","0.77","0.04","0.03","0.04","0.03","0.06","0.12","0.20","0.13","0.05","0.02","0.07"
"Th","0.52","0.13","3.58","3.28","0.40","5.62","3.47","0.47","0.36","0.13","0.10","0.08","1.10","3.21","1.78","0.06","1.16","0.05"
"U","0.18","0.05","1.30","1.32","0.20","2.55","1.41","0.17","0.07","0.08","0.09","0.08","0.57","1.79","0.93","0.03","0.44","0.03"
