"Sample","Fieldlocation","","Rockdescriptionandmineralassemblange"
"number","","",""
"","Name","GridRef",""
"","WesternFiordlandorthogneiss","",""
"FM-90A","FranklinMtns","121/716859","Weaklyfoliated2-pyroxenedioritegneisswithrelictigneoustexturesPlagioclase,"
"(51252)","","","biotite,hornblende,clinopyroxene,orthopyroxene,K-feldspar,oxides,apatite,"
"","","","quartz"
"FM-90B","(asabove)","","Semi-concordantdikecuttingFM-90AWeaklyfoliated2-pyroxenemeta-leuco"
"(51253)","","","monzodioritewithrelictigneoustexturesPlagioclase,K-feldspar,"
"","","","hornblende,biotite,clinopyroxene,oxides,apatite,orthopyroxene,quartz"
"FM-I18B","FranklinMtns","121/664869","Lineated,weaklyfoliated2-pyroxenemeta-diorite;containssomerelictigneous"
"(51288)","","","texturesAntiperthiticplagioclase,clinopyroxene,orthopyroxene,K-feldspar,"
"","","","oxides,biotite,apatite,quartzBoulderfromheadofRobbCreek"
"FM-135A","ClintonCirque","121/772928","Massive,2-pyroxenemeta-dioritecontainingdominantrelictigneoustextures"
"(51110)","","","Plagioclase,orthopyroxene,clinopyroxene,biotite,hornblende,oxides,"
"","","","K-feldspar,apatite,quartz"
"BL-34A","SutherlandSd","121/579018","Wellfoliatedgranoblastic2-pyroxenenmonzo-dioritegneissPlagioclase,"
"(51337)","","","K-feldspar,clinopyroxene,orthopyroxene,hornblende,oxides,biotite,apatite,"
"","","","quartzOutcropfromcliffatbeachface"
"BL-25A","BlighSound","121/558959","Lineated,weaklyfoliated2-proxenemonzonite(mangerite)gneissPlagioclase-"
"(51357)","","","orthoclasemesoperthite,clinopyroxene,orthopyroxene,hornblende,oxides,"
"","","","biotite,apatite,quartz"
"","OtherWFOandrelatedrocks","",""
"BL-4A","BlighSound","121/548883","Phlogopite-bearingwebsteritesemi-concordantlyintruding2-pyroxenegneiss"
"(51372)","","","Clinopyroxene,orthopyroxene,phlogopite,oxides,apatiteShorelineoutcrop"
"S-21A","SutherlandSd","121/604302","Concordantorthopyroxeneeclogitehorizoninfeldspathicpyroxenegneiss"
"(51306)","","","Coarsegarnetsupto~1cmdiameterClinopyroxene,garnet,orthopyroxene,"
"","","","lateamphibole,apatite,oxides,rutileFloatboulderonbeach"
"S-21B","SutherlandSd","121/604302","Plagioclase-richpegmatoiddikeinwhichcoarsetabularhornblendehasbeen"
"(51307)","","","psuedomorphedbysymplectitesofgarnet+clinopyroxeneDikecrosscuts"
"","","","2-pyroxenegneisswhichislocallyoverprintedbygarnet-formingreactionzone"
"","","","atdikemargin"
"RPK-226","GeorgeSound","130/485736","Migmatiticmetasedimentenclosedas<50mwideraftwithinWFO;gradational"
"(51435)","","","intoanatecticgraniticgneissatraftmarginsQuartz,K-feldspar,plagioclase,"
"","","","biotite,garnet,sillimanite,kyanite,rutile,ilmeniteShorelineoutcrop"
"","DarranComplexgabbronorite","",""
"M-45C","MilfordRoad","122/941088","Leucogabbronorite:igneouslaminationdefinedbyalignmentofcoarseeuhedral"
"(51694)","","","plagioclaselathsMinorrecrystallizationinresponsetodeformation"
"","","","Plagioclase,clinopyroxene,orthopyroxene,biotite,hornblende,oxides,apatite,"
"","","","K-feldspar,quartz,myremkiteOutcropnear1980slipnearDonneRiver"
"M-60","DarranMtns","122/995027","LeucogabbronoritesimilartoaboveOutcroponridgeofNWofBarrierPk"
