"","","Vestfold,Hortenprofile","","","","","","","",""
"","","PC0","POC","P","P","P","P","P","P","PC0"
"","Aph","","","","","","","","",""
"","F17","F18","F20","F21","F22","F23","F24","F25","F26","FXO"
"Majorelements","(wt%)","","","","","","","","",""
"SiO,","4450","4655","4661","4917","5077","4963","5043","5221","4822","4756"
"TiO,","482","259","287","339","350","323","329","330","336","230"
"Al203","928","1455","1506","1707","1740","1670","1664","1646","1652","1022"
"Fe,O:","1320","1129","1196","1043","1077","1019","1018","1103","1059","1247"
"MnO","015","013","013","018","023","016","014","015","023","013"
"M@","811","718","798","457","377","277","275","261","389","799"
"CaO","1124","1070","859","462","425","553","522","472","536","1158"
"Na2O","159","238","307","349","400","421","429","485","353","201"
"K2O","178","159","167","429","455","413","416","365","373","124"
"p205","073","041","043","108","113","104","106","108","123","030"
"LOI","216","191","138","310","275","318","198","226","280","250"
"Sum","9756","9928","9975","10139","10312","10077","10014","10232","9946","9830"
"Normqtz","-","","","","","-","_","","",""
"Normne","-","","161","","012","381","25","437","_",""
"Traceelements","(ppm)","","","","","","","","",""
"SC","295","225","255","91","91","89","89","86","89","441"
"Cr","429","174","193","36","21","25","19","27","20","320"
"co","490","434","447","276","277","244","259","237","250","569"
"Ni","168","90","94","7","23","28","6","7","5","102"
"Rb","395","302","469","983","113","105","102","769","100","300"
"Sr","1084","996","1441","1615","1752","1649","1642","1461","1756","876"
"Zr","398","174","214","560","607","585","521","605","557","164"
"cs","020","030","045","067","078","105","102","061","100","035"
"Ba","579","724","792","1490","1069","1010","1031","988","1160","471"
"La","765","420","456","143","132","132","132","129","134","344"
"Ce","161","85","105","275","257","259","271","256","257","684"
"Sm","163","76","86","24","24","23","24","23","24","73"
"Eu","47","24","25","71","71","68","72","68","68","22"
"Tb","146","075","081","211","204","208","212","197","211","083"
"Yb","35","22","15","40","41","37","42","39","40","25"
"LU","036","023","025","053","055","049","049","043","049","038"
"Hf","106","50","51","150","150","142","145","144","142","46"
"Ta","639","299","313","103","102","99","101","102","101","278"
"Th","808","400","425","131","138","127","136","134","131","323"
"U","14","094","072","29","40","36","37","47","27","091"
"Pb","","","","917","","789","","","",""
