"","Weight","U","Th/U(b)","Pbrad","Pbcom","","","","","","206PB/238UAge"
"Sample","(mg)","(ppm)","(wt)","(ppm)","(pg)","206Pb/204Pb(e)","208Pb/206Pb(f)","207Pb/235U(f","206Pb/238U(f,g)","r(h)","(f,g)(Ma)"
"NB10:","","","","","","","","","","",""
"z1","83","724","053","555","27","9477","0169223","05681212","00726029","089","451826"
"z2","125","1310","048","104","38","19549","0154223","05988212","007648210","093","475126"
"z3","58","558","061","451","46","3105","0220424","05752215","00735328","074","457425"
"z4","101","1371","052","110","51","12439","0167523","05988212","007646210","090","475026"
"NB93:","","","","","","","","","","",""
"z1","24","229","154","328","48","938","0506212","00674286","00107227","081","6882243"
"z2","41","544","153","783","42","3674","05015234","00706222","00107823","062","6917217"
"z3","96","714","064","830","35","1309","02093213","0070328","00107522","042","6900214"
"z41(a)","41","489","059","851","36","5707","01925226","01071224","00163024","046","10432228"
"z42(a)","21","666","048","956","31","3982","01567238","00914230","00138523","072","8879218"
