"","NB 14","NB 14","NB 55","NB 55","NB 55","NB 34","NB 34","NB 34","NB 24","NB 24","NB 24","NB 24","NB 58"
"wt.%","Opx","Plag","Oliv","Gar","Amph","Gar","Amph","Plag","Gar","Bio","Plag","Spinel","Gar"
"SiO2","50.13","46.53","37.62","40.01","48.47","38.78","41.28","52.34","38.06","35.65","56.09","1.70","37.86"
"TiO2","0.09","—","—","—","0.60","0.05","1.81","—","—","5.39","—","—","—"
"Al2O3","1.13","33.92","—","22.95","9.95","20.40","12.40","30.78","21.77","17.44","27.89","59.45","21.66"
"Cr2O3","0.07","—","—","0.42","0.48","—","0.10","—","—","0.06","—","0.11","—"
"Fe2O3","0.51","0.44","—","1.15","4.96","1.43","3.63","—","1.08","—","0.45","—","1.28"
"FeO","31.04","—","25.04","17.09","1.97","24.90","15.77","0.44","30.59","16.88","—","29.68","33.63"
"MnO","0.76","—","0.41","0.87","0.08","1.23","0.20","—","1.78","0.11","—","0.16","0.36"
"MgO","15.26","—","37.57","12.30","17.41","4.19","8.23","—","5.32","10.94","—","5.53","5.32"
"CaO","0.63","17.40","—","6.12","12.49","9.96","11.39","13.26","2.79","—","10.16","0.05","1.22"
"Na2O","—","1.64","—","—","0.82","—","1.52","3.86","—","0.16","6.00","0.15","0.04"
"K2O","—","—","—","—","0.23","—","1.42","0.14","—","9.23","0.15","—","0.01"
"NiO","0.06","—","0.09","0.08","0.11","—","—","—","—","0.08","—","0.12","—"
"H2O calc.","—","—","—","—","2.13","—","1.98","—","—","3.89","—","—","—"
"Total","99.68","99.93","100.73","100.99","99.69","100.94","99.73","100.82","101.39","99.83","100.74","96.95","101.38"
"","Wo 0.01","An 0.86","Fo 0.72","","Gr 0.12 Magnesio Gr 0.23","","Ferroan","An 0.65","Gr 0.04","","","An 0.48 MgSpi 0.25 Gr 0.0",""
"","En 0.44","Ab 0.14","Fa 0.27","Al 0.36","Hornbl.","Al 0.54","Pargasit.","Ab 0.34","Al 0.67","","Ab 0.51","","FeSpi 0.75 Al 0.75"
"","Fs 0.50","","","Py 0.46","","Py 0.16","Hornbl.","Or 0.01","Py 0.21","","Or 0.01","","Py 0.21"
"","Px 0.01","","","Sp 0.02","","Sp 0.03","","","Sp 0.04","","","","Sp 0.0"
"","","","","","","An 0.04","","","","","","","An 0.04"
