"Sampleno","F-19","F-20","F-21","F-22","F-23","F-25","F-26"
"Analysisno","4973","4974","4975","4976","4977","4978",""
"SiO2(%)","6821","7001","6815","6850","6833","6799","7034"
"A1203","1535","1502","1561","1550","1546","1620","1457"
"F%O3","222","184","165","165","185","219","131"
"FeO","138","132","170","163","144","088","150"
"MnO","004","003","004","004","005","003","003"
"MgO","091","074","095","083","086","083","082"
"CaO","372","243","404","370","344","319","147"
"Na20","463","466","457","474","501","510","487"
"K20","178","234","184","177","202","209","283"
"TiO2","058","045","046","046","044","054","040"
"P205","011","010","012","011","012","012","013"
"LOI","100","099","097","108","092","101","114"
"Total","9993","9993","10010","10001","9994","10017","9943"
"An""J","2415","1774","2512","2377","2015","2140","991"
"Abb100%","5977","6087","5842","6044","6228","6108","6421"
"Or)","1608","2139","1646","1579","1757","1752","2588"
"La(ppm)","1207","1829","898","943","1053","1800","323"
"Ce","2064","-","1674","1879","-","-","651"
"Nd","826","1075","6234","7044","752","1430","1954"
"Sm","1554","1595","1396","1409","1489","2609","300"
"Eu","0583","0565","0584","0579","0554","0792","0751"
"Gd","1284","1165","1260","1269","1288","1932","2004"
"Dy","108","1238","1020","1089","1235","1406","1340"
"Er","0573","-","0485","0606","0753","0704","0614"
"Yb","0571","0802","0418","0611","0825","0637","0491"
"Lu","0095","0130","0071","0099","0127","0102","0076"
"(La/Yb)N","140","151","142","102","84","187","434"
