"Models","PPL↓","B-1↑","B-2↑","B-3↑","B-4↑","R-1↑","R-2↑","Dist-1↑","Dist-2↑","Acc↑"
"Transformer","3762","1807","834","457","286","1722","421","036","135","-"
"Multi-TRS","3750","1878","855","470","295","1685","421","035","127","3395"
"MoEL","3660","1807","830","437","265","1824","481","059","264","3174"
"MIME","3724","1860","839","454","281","1708","405","047","166","3096"
"EmpDG","3743","1996","911","474","280","1802","443","046","199","3165"
"CEM","3633","1612","729","406","203","1577","450","062","239","3684"
"SEEK","3678","1077","440","202","108","1274","294","068","281","4274"
"CASE","3520","1559","722","380","224","1733","467","065","337","3899"
"E-CORE","3303","-","-","-","-","-","-","072","349","4259"
"KEMP","3639","1672","717","377","233","1611","331","066","307","3657"
"CAB","3436","1923","855","436","257","1750","413","113","423","4052"
"DCKS","1858","1875","912","538","357","1914","545","157","602","4869"
"Lamb","1886","2200","1049","607","397","1955","547","180","773","5344"
"w/oCoNECT","2030","2169","1038","595","383","1981","549","198","879","4835"
"w/oSelf-pres","2026","2228","1069","605","385","1950","533","229","1017","5101"
