"Sample No.","SiO2","TiO2","Al2O3","Fe2O3","MgO","CaO","Na2O","K2O","MnO","P2O5","Total","LOI","Mg#","Na2O + K2O"
"NJG-01","54.59","1.13","16.79","8.59","3.56","6.37","5.72","3.02","0.12","0.11","100.00","4.58","48.00","8.73"
"NJG-03","57.72","1.22","16.21","7.38","3.05","5.31","5.61","3.32","0.10","0.07","99.99","5.61","48.00","8.94"
"NJG-02","56.08","1.25","15.99","7.68","3.02","5.89","5.08","3.95","0.11","0.06","99.11","4.82","46.00","9.03"
"NJG-04","56.92","1.27","15.63","7.66","3.07","5.66","3.89","5.77","0.10","0.03","100.00","5.47","47.00","9.66"
"NJG-05","57.58","1.20","15.61","7.43","2.62","5.69","4.08","5.60","0.11","0.04","99.96","5.55","44.00","9.68"
"NJG-06","57.33","1.20","16.21","7.45","2.57","5.46","4.20","5.42","0.10","0.04","99.98","5.34","43.00","9.62"
"NJG-07","57.02","1.34","15.89","7.80","2.72","6.07","5.26","3.55","0.11","0.05","99.81","5.62","43.00","8.81"
"NJG-08","56.50","1.29","16.03","7.80","3.09","5.96","4.95","4.24","0.11","0.05","100.02","4.93","47.00","9.19"
"NJG-09","55.31","1.42","16.57","8.71","3.62","5.73","6.01","2.21","0.10","0.31","99.99","4.15","48.00","8.23"
"NJG-10","54.65","1.50","16.71","8.55","3.40","6.45","5.96","2.54","0.12","0.10","99.98","4.50","47.00","8.50"
"NJG-11","53.29","1.45","16.31","8.25","3.41","8.03","5.60","2.99","0.14","0.51","99.98","4.19","48.00","8.59"
"NJG-12","54.67","1.50","16.73","8.51","3.77","5.95","6.08","2.41","0.12","0.25","99.99","4.23","49.00","8.50"
"NJG-13","52.42","1.38","16.08","7.53","3.44","10.04","5.77","2.85","0.15","0.33","99.99","3.01","50.00","8.63"
"NJG-14","54.65","1.56","16.51","8.76","3.74","5.92","6.02","2.34","0.12","0.39","100.01","4.57","48.00","8.36"
"NJG-15","55.29","1.55","16.49","8.65","3.82","5.30","5.55","2.99","0.09","0.28","100.01","3.37","49.00","8.54"
"GSR3(RV*)","45.72","2.43","14.16","13.72","7.96","9.02","3.46","2.38","0.17","0.97","99.99","2.24","",""
"GSR3(MV*)","45.83","2.40","14.27","13.69","7.92","8.95","3.47","2.34","0.17","0.97","100.01","2.24","",""
"GSR1(RV*)","73.63","0.29","13.55","2.16","0.42","1.57","3.16","5.06","0.06","0.09","99.99","0.70","",""
"GSR1(MV*)","73.73","0.29","13.57","2.15","0.41","1.51","3.15","5.04","0.06","0.09","100.00","0.56","",""
