"Table1","","","","","",""
"LA-ICP-MSU–PbisotopedataforzirconsseparatedfromsampleNiujiaogoubasaltictrachyandesitesampleNJG2-01","","","","","",""
"","","Elementconcentrations","","","",""
"Grain","Th(ppm)","U(ppm)","","Pb(ppm)","","Th/U"
"1","235","292","","165","","080"
"2","195","328","","158","","059"
"3","621","137","","553","","045"
"4","163","306","","132","","053"
"5","423","651","","323","","065"
"6","126","220","","996","","057"
"7","438","583","","328","","075"
"8","796","146","","671","","054"
"9","758","956","","531","","079"
"10","170","293","","136","","058"
"11","948","127","","779","","074"
"12","886","139","","711","","064"
"13","346","595","","281","","058"
"14","341","533","","275","","064"
"15","153","230","","121","","066"
"16","155","267","","123","","058"
"17","941","167","","822","","056"
"18","198","336","","160","","059"
"Mantle-derivedmagmascanundergocrustalcontamination52Crustalcontaminationandﬂuidmetasomatism","talcontaminationenttrends,possiblysuggestingmagmamixingorsigniﬁcantcrus-removalofplagioclaseSiO2showstwodistinctgroupswithdiffer-Notes:Errorsaregivenat1suncertainty,andcommonPbcorrectionsusedthemethodofAndersen(2002)","WeaknegativeEuanomaliesofsomesamplessuggestminordecreasessuggestinglittlefractionationofolivineandpyroxeneNishowsverylittlechangewithMgOandCrincreasesasMgO","sphene)wereinvolvedintheirfractionalcrystallizationhistory","minorplagioclase,apatite,Fe–Tioxides(rutile,ilmeniteandbetweenMgOandAl2O3,P2O5,TiO2,Fe2O3,andNa2Oindicatesthat(171–256ppm)(Liuetal,2008b)Thepositivecorrelation(103–2469ppm)andNi","tions(257–382wt%;Mg#=43–50,Crofanenrichedsource,asevidencedbytheirlowMgOconcentra-","fromahighlyfractionatedmagmaorlowdegreesofpartialmeltingThebasaltictrachyandesiteandtrachyandesiteswerederived"
