"Items","Severe","Moderate","Mild","Control","Statistical","P"
"Age(years)","620±425","675±888","715±641","660±738","8469","0037**"
"Gender","1±048","1±048","1±050","1±049","5644","0130"
"Education","1±066","1±052","1±051","1±069","0032","0999"
"Somatization(F1)","258±073","188±083","204±063","158±069","104","0015**"
"Obsessive-Compulsive(F2)","270±089","22±0762","170±041","170±061","11527","0009***"
"InterpersonalSensitivity(F3)","200±087","189±066","144±034","122±042","17456","0001***"
"Depression(F4)","292±08","192±076","142±036","139±056","21747","0000***"
"Anxiety(F5)","170±087","160±081","155±057","130±045","10358","0016**"
"Hostility(F6)","270±095","183±103","167±052","117±034","18291","0000***"
"Phobia(F7)","157±089","164±092","129±056","114±047","9084","0028**"
"Paranoia(F8)","150±079","158±054","150±035","117±033","19678","0000***"
"Psychoticism(F9)","200±074","175±071","155±029","120±038","16047","0001***"
"DietandSleep(F10)","214±061","186±097","193±071","157±065","6571","0087*"
