"","2058","2095","604","951","947","49","2103","438","800","1126"
"SiO2","4732","4404","4510","5159","4147","4981","4400","4866","4673","4547"
"Ti02","140","372","324","284","593","262","427","216","218","2I1"
"A1203","1434","869","1170","1404","397","1477","850","1414","1465","1547"
"Fe203","1131","1717","1463","1023","2109","1266","1538","1325","1305","1727"
"MnO","018","035","021","022","030","021","039","037","031","027"
"MgO","976","1504","952","701","1438","724","1111","832","793","583"
"CaO","1329","842","1007","850","1000","487","1125","822","1057","977"
"Na20","206","119","298","416","109","425","157","360","296","319"
"K20","022","068","192","092","100","289","288","109","121","036"
"P205","011","068","064","050","075","067","064","022","041","027"
"LOI","412","611","222","297","262","274","303","208","404","185"
"Ni","166","199","165","40","131","89","167","137","83","42"
"Cr","420","207","246","28","71","156","217","245","86","117"
"V","259","264","306","409","351","254","234","374","265","352"
"Sc","39","21","21","22","30","17","12","40","26","42"
"Cu","120","42","61","153","174","56","339","134","82","45"
"Zn","70","242","136","267","464","162","257","106","69","68"
"Sr","246","977","1051","542","1055","996","1893","759","823","371"
"Rb","5","13","36","22","45","50","42","24","37","3"
"Ba","79","820","970","1076","626","1128","2795","321","444","296"
"Zr","69","361","239","138","629","238","261","105","133","102"
"Nb","5","129","66","41","201","51","118","10","36","19"
"Y","18","24","22","23","28","25","15","27","22","21"
"La","71","904","","","","","","","353","182"
"Ce","172","2053","","","","","","","775","40"
"Nd","108","78","","","","","","","32","193"
"Sm","315","1279","","","","","","","64","434"
"Eu","119","361","","","","","","","201","168"
"Gd","413","95","","","","","","","613","486"
"Dy","365","518","","","","","","","446","392"
"Er","205","209","","","","","","","223","216"
"Yb","191","187","","","","","","","205","208"
"Sample","Rocktype","","Drillholelocation","","","","Depth","","Age",""
"2058","dolerite","","Salogubovskaya-388","","","","5538m","","Frasnian",""
"2095","ultramaficlava","","","Severo-Zagorovskaya-1","","","4706m","","Frasnian",""
"604","ankaramite","","Sednevskaya-310","","","","3403m","","Frasnian",""
"951","alkalibasalt","","Kinasbevskaya-1","","","","3647m","","Frasnian",""
"947","ultramaficlava","","Belotserkovskaya-231","","","","1902m","","Frasnian",""
"49","alkalibasalt","","Brusilovskaya-2","","","","2598m","","Frasnian",""
"2103","ultramaficlava","","Severo-Zagorovskaya-1","","","","4769m","","Frasnian",""
"438","dolerite","","","Hole6053DmitrievskiySaltDome","","","273m","","unconstrained",""
"800","dolerite","","","Krasno-Partizanskaya-4","","","3746m","","Famennian",""
"1126","alkalibasalt","","Kukshin-1","","","","3210m","","Famennian",""
