"","Minskl","Minsk3","Minsk4","Minsk8","OOP1B","OOP2","OOP23","OOP40a","PK501","PK1"
"SiO2","4401","3022","4534","4269","4304","4320","5116","4179","4777","4582"
"TiO2","305","500","237","410","261","258","162","368","180","181"
"A1203","1222","1054","884","935","761","756","1795","1125","1009","1107"
"Fe203","1621","2746","1460","1636","1487","1484","1113","1707","1373","1312"
"MnO","009","051","017","035","020","020","045","014","018","014"
"MgO","1621","1412","1644","998","1870","1868","293","955","1326","1791"
"CaO","295","966","1028","1298","948","928","339","1119","786","536"
"Na20","061","117","098","198","212","220","963","092","223","033"
"K20","393","020","032","134","085","093","152","354","253","398"
"P205","071","113","066","088","052","052","021","086","056","048"
"Toml","9999","10001","10000","10001","10000","9999","9999","9999","10001","10002"
"LOI","70","65","879","285","241","263","707","505","+10","833"
"Ni","103","392","537","122","789","817","nd","56","166","93"
"Cr","245","294","602","106","829","784","21","51","222","297"
"V","386","597","289","350","225","204","715","395","290","270"
"Sc","34","42","23","25","19","19","nd","26","21","25"
"Cu","148","380","176","642","152","121","13","248","224","217"
"Zn","58","595","222","140","104","99","250","89","128","62"
"Sr","397","1925","538","1295","938","887","821","1076","868","346"
"Rb","55","2","11","45","13","12","125","56","45","61"
"Ba","1375","5502","584","645","769","758","2045","1026","1043","214"
"Zr","215","265","130","336","173","174","574","189","86","113"
"Nb","66","123","45","169","64","63","169","68","46","48"
"Th","12","17","7","22","12","11","6","13","9","6"
"Y","19","26","15","26","16","17","12","23","14","15"
"La","62","892","406","1014","594","595","624","622","415","393"
"Ce","1311","182","872","2135","1231","1236","816","1286","857","818"
"Nd","516","665","357","815","48","478","186","544","301","294"
"Sm","915","1166","664","1493","826","826","275","100","516","523"
"Eu","26","336","204","493","24","241","079","297","153","156"
"Gd","726","932","552","119","637","64","25","817","44","439"
"Dy","445","589","348","689","402","402","215","525","299","322"
"Er","19","228","143","258","132","132","101","176","142","127"
"Yb","164","186","117","211","116","117","126","146","132","118"
"Sample","Rocktype","","Drillholelocation","","","Depth","","Age","",""
"Minskl","lamprophyre","","Dneprovskaya","","","3565m","","Frasnian-Famennian","",""
"Minsk3","ultramaficlava","","Krasnoselskaya210","","","3360m","","Frasnian-Famennian","",""
"Minsk4","ultramaficlava","","EastBorschevka3","","","2925m","","Frasnian-Famennian","",""
"Minsk8","alkalibasaltdyke","","Borschevska-4","","","2125m","","Frasnian-Famennian","",""
"OOP1B*","ultramaficlava","","","Braguin-LoevSaddle","","1274m","","Frasnian-Famennian","",""
"OOP2*","ultramaflclava","","","Braguin-LoevSaddle","","1282m","","Frasnian-Famennian","",""
"OOP23","phono-tephrite","","","Braguin-LoevSaddle","","570m","","Frasnian-Famennian","",""
"OOP40a","lamprophyre","","","Braguin-LoevSaddle","","4515m","","Frasnian-Famennlan","",""
"PK501","?kimberlite","","Nriftshoulder","","","nearsurface","","Frasnian","",""
"PK1","?kimberlite","","Nriftshoulder","","","373-555m","","Frasnian","",""
