"348 6a","348 6c V","348 6c D","348 6e P","348 6e S","348 6f P","348 6f S","348 7a P","348 7a sc","348 7d Pc","350 CI V","350 RT"
"Cratere","Cratere","Cratere","Cratere","Cratere","Cratere","Cratere","Cratere","Cratere","Cratere","Colle","Colle"
"Astroni","Astroni","Astroni","Astroni","Astroni","Astroni","Astroni","Astroni","Astroni","Astroni","Imperatrice","Imperatrice"
"6, a","6, c","6, c","6, e","6, e","6,
f","6,
f","7, a","7, a","7, c","Imperatrice","Rotondella"
"Pumice","Pumice","Dense","Pumice","Scoria","Pumice","Scoria","Pumice","Single scoria","Pumice","Obsidian","Lava"
"fragments","fragments","fragments","fragments","fragments","fragments","fragments","fragments","fragment","fragments","fragments",""
"Phonolite","Tephri-","Phonolite","Tephri-","Latite","Phonolite","Trachyte","Phonolite","Phonolite/","Phonolite","Phonolite","Trachyte"
"","phonolite","","phonolite","","","","","trachyte","","",""
"56.98","55.43","57.93","55.93","56.69","56.47","57.18","57.13","56.88","57.07","57.87","58.47"
"0.46","0.55","0.48","0.54","0.54","0.50","0.51","0.49","0.48","0.46","0.49","0.49"
"18.68","18.41","19.00","18.64","18.84","18.72","18.87","18.89","18.59","18.80","18.97","19.48"
"4.37","5.27","4.43","5.37","5.17","4.78","4.92","4.50","4.46","4.35","4.61","4.53"
"0.12","0.12","0.12","0.12","0.11","0.12","0.12","0.12","0.11","0.11","0.12","0.11"
"0.91","1.59","0.98","1.55","1.38","1.10","1.16","0.96","1.03","0.91","1.01","0.91"
"3.36","4.84","3.64","4.77","4.38","3.91","4.00","3.60","3.76","3.42","3.60","3.29"
"3.87","3.55","3.98","3.63","4.65","3.89","4.66","3.87","4.13","3.90","3.95","3.68"
"8.34","7.78","8.27","7.98","6.45","7.96","6.52","8.41","7.71","8.52","8.55","8.09"
"0.18","0.28","0.20","0.29","0.24","0.23","0.23","0.21","0.20","0.18","0.19","0.18"
"2.67","2.20","0.93","1.19","1.56","2.30","1.79","1.80","2.63","2.24","0.62","0.73"
"99.94","100.02","99.96","100.01","100.01","99.98","99.96","99.98","99.98","99.96","99.98","99.96"
"11.1","9.7","11.4","8.8","8.9","10.0","10.1","10.2","10.3","10.4","10.6","9.2"
"72","108","77","109","99","87","93","82","76","81","85","77"
"b.d.l.","20.7","b.d.l.","15.63","8.18","6.12","5.13","b.d.l.","b.d.l.","7.30","7.37","b.d.l."
"5.10","8.55","5.54","8.43","7.34","5.94","6.41","5.72","6.22","5.76","6.19","5.85"
"7.23","12.94","8.35","12.33","12.38","9.09","10.13","8.51","8.93","8.27","8.69","8.23"
"78","81","83","84","77","82","77","85","85","86","81","73"
"18.1","18.9","19.7","19.5","18.6","18.4","19.2","19.5","17.9","19.1","18.4","19.4"
"1.20","1.32","1.28","1.37","1.33","1.51","1.39","1.33","1.28","1.23","1.29","1.30"
"21.5","19.6","22.1","18.8","16.7","23.6","21.4","21.5","14.2","20.9","20.2","17.3"
"328","309","334","312","323","316","338","343","234","336","329","352"
"584","797","601","822","794","673","730","685","695","703","703","679"
"27.7","27.0","27.2","28.6","27.2","27.3","27.8","27.9","26.4","27.7","26.9","22.1"
"348","303","350","308","304","329","332","353","319","341","322","336"
"47","43","47","44","44","46","46","49","43","47","45","47"
"5.07","4.65","5.34","4.74","3.67","5.70","4.29","5.10","2.85","5.28","5.03","2.77"
"4.07","3.92","4.34","4.13","3.68","3.91","3.87","4.42","3.51","4.26","3.82","2.73"
"1.05","0.87","1.10","0.89","0.89","1.05","0.89","1.02","0.82","1.02","1.00","0.91"
"21.3","18.1","21.7","19.1","19.7","20.6","20.9","21.3","18.8","20.7","21.2","22.1"
"779","1179","878","1309","1277","1028","1065","1057","1016","1047","1004","914"
"74","70","76","75","74","77","76","78","72","75","71","63"
"145","133","147","147","142","144","144","149","135","139","135","120"
"15.5","14.5","15.9","16.0","15.7","15.9","15.5","15.6","14.5","14.6","15.6","13.7"
"51","53","55","57","54","57","55","54","52","52","57","49"
"9.11","9.36","9.54","9.44","9.25","9.48","9.65","9.22","8.91","8.92","9.69","8.19"
"2.29","2.21","2.18","2.46","2.44","2.28","2.33","2.20","2.10","2.18","2.14","2.05"
"6.93","6.55","7.26","6.95","7.02","6.81","7.03","6.63","6.66","6.98","6.42","5.46"
"0.91","0.92","1.02","1.03","1.00","1.06","1.04","0.98","0.93","0.95","1.00","0.84"
"5.24","5.22","5.71","5.20","5.25","5.45","5.09","5.13","4.68","4.90","4.95","4.16"
"0.90","0.89","0.93","0.98","1.01","1.03","0.97","0.95","0.96","0.91","0.94","0.73"
"2.70","2.50","2.74","2.80","2.67","2.74","2.72","2.76","2.65","2.45","2.60","2.18"
"0.37","0.33","0.40","0.37","0.41","0.43","0.40","0.40","0.38","0.37","0.39","0.32"
"2.86","2.45","2.77","2.72","2.43","2.79","2.71","2.50","2.63","2.60","2.80","2.23"
"0.41","0.34","0.40","0.40","0.44","0.44","0.40","0.43","0.43","0.39","0.39","0.33"
"7.72","6.21","7.56","6.57","6.86","7.27","7.17","7.66","7.11","7.04","7.64","7.60"
"3.07","2.57","3.00","2.70","2.73","2.92","2.86","2.98","2.85","2.85","3.04","2.97"
"7.08","5.91","6.95","6.37","5.47","7.16","6.71","6.81","5.31","6.64","7.13","4.95"
"51","47","53","49","46","53","47","50","51","53","55","49"
"0.30","0.28","0.24","0.36","0.32","0.71","0.30","0.22","b.d.l.","0.27","0.19","b.d.l."
"32.8","27.8","32.9","28.5","29.0","32.7","30.7","31.7","32.0","32.7","34.7","34.2"
"10.9","9.4","10.8","9.3","9.5","12.9","11.5","10.3","10.2","10.2","11.0","8.3"
"79.33","71.96","78.49","72.54","73.75","76.58","75.59","78.47","77.75","79.47","78.75","77.92"
