"Sample","Rb/Sr""","87Rb/86Sr","( 8 7 S r / S r S r )   . . . .","Age (Ma)","(87Sr/86Sr)i b"
"GR-036","0.0289","0.0836","0.70704","155","0.70686"
"GR-035","0.0229","0.0663","0.70764","155","0.70749"
"GR-032","0.0440","0.1272","0.70765","155","0.70737"
"GR-022","0.0523","0.1513","0.70817","155","0.70784"
"GR-016","0.0904","0.2616","0.70876","155","0.70818"
"GR-002","0.0060","0.0174","0.70779","155","0.70775"
"GR-009","0.0656","0.1897","0.70726","155","0.70684"
"GR-007","0.0578","0.1673","0.70885","155","0.70848"
"GR-004","0.1112","0.3218","0.70830","155","0.70759"
"BR-001","0.1081","0.3128","0.70889","155","0.70820"
"BR-002","0.0819","0.2370","0.70863","155","0.70811"
"NBR-00I","0.1141","0.3301","0.70770","155","0.70697"
