"Sample","GR002bGR006""","","GR016""","GR022""","GR032aGR035aGR0368GR004""","","","GR007~GR009cNBR00IdBR001e","","","BR002e"
"","Weightpercentoxides","","","","","","","","","",""
"SiO2","4946","5823","5815","5297","5019","5976","490853045890","5128","5028","4970","4983"
"TiO2","160","094","125","103","098","104","123122095","134","149","151","148"
"A1203","1792","1631","1704","1820","1777","1896","166717161772","1814","1686","1674","1693"
"FeO","1022","741","642","776","813","752","985833535","903","934","942","934"
"MgO","423","300","270","467","597","469","574476259","444","543","578","605"
"MnO","014","014","014","014","014","014","016015014","017","015","016","017"
"CaO","1022","606","519","746","1031","1120","1134754579","802","895","914","923"
"Na20","409","327","388","363","313","318","282325428","375","333","275","291"
"K20","033","308","283","188","105","090","095201218","159","143","164","145"
"P20~","026","035","068","037","024","028","014042029","037","023","040","036"
"LO1","065","068","122","129","144","081","123131147","100","175","189","174"
"Total","9912","9946","9948","9939","9933","9949","992299189964","9940","9924","9912","9950"
"Partspermillion","","","","","","","","","","",""
"Rb","5","102","62","45","31","18","207049","43","57","61","45"
"Sr","811","557","685","852","711","782","707627845","655","498","562","553"
"Ba","181","1,198","1,793","1,496","289","361","3221,0761,132","840","608","623","1,113"
"Ga","22","19","20","20","18","19","191923","21","19","19","18"
"Y","263","31","431","301","255","246","259342148","313","275","325","319"
"La","34","60","82","50","19","25","195329","28","21","32","34"
"Zr","262","242","315","212","98","128","81226185","171","101","159","143"
"Hf","66","56","77","49","-","34","4745","42","","-","-"
"Nb","103","181","191","137","110","102","10516695","141","13","143","134"
"Cr","41","22","20","71","134","122","968915","15","103","119","117"
"Ni","31","27","6","51","68","45","54499","12","45","48","58"
"Th","","93","70","-","29","-","-4161","35","-","53","42"
"Pb","9","19","16","13","11","12","ll1412","10","10","11","10"
