"Criteria","Description"
"CellPosition","Specifytherangeorpositionofthecellsyouwant"
"","tosearchForexample,youmaywanttosearchfor"
"","explanationsonlyinthecellsofaspecificcolumn,row,"
"","oraparticularsectionofthetable"
"CellContent","Definethespecificcontentordatatypewithinthecells"
"","youwanttosearchForinstance,youmaywantto"
"","searchforexplanationsincellscontainingnumerical"
"","values,dates,specifickeywords,oracombinationof"
"","certainwords"
"CellFormatting","Considertheformattingorstylingappliedtothecells"
"","Thiscouldincludesearchingforexplanationsincells"
"","withboldoritalictext,specificbackgroundcolors,or"
"","cellsthataremergedorhighlightedinacertainway"
"CellContext","Takeintoaccountthecontextsurroundingthecells"
"","Youcansearchforexplanationsincellsthatareadja-"
"","centtocertainlabels,headings,oridentifiers,orwithin"
"","aspecificcontextprovidedbyothercellsinthesame"
"","roworcolumn"
"CellProperties","Consideranyspecificpropertiesassociatedwiththe"
"","cellsThismightincludesearchingforexplanationsin"
"","cellsthathaveformulas,links,orotherdatavalidation"
"","rulesappliedtothem"
"Prompt","Youwillbegivenaparsedtable{Table}inpython"
"","dictionaryformat,extractthecellsthatneedtobeex-"
"","plainedTheextractionruleshouldbebasedonthefol-"
"","lowingcriteria:{Criteria}Onlyreturnthecellsname"
"","inapythonList[str]"
