"","","","Observation","Inital","Initial","Goal",""
"Task","","Variant","","","","","Description"
"","","","Range","Objects","Predicates","Predicates",""
"","","Easy","(13,9,13)","0","870/986","1",""
"","","","","","","","Navigatetoaspecific"
"move","","Medium","(21,15,21)","12","2079/2489","1",""
"","","","","","","","location"
"","","Hard","(71,31,71)","1071","45043/56067","1",""
"","","Easy","(13,9,13)","2","875/991","1",""
"pickup","","","","","","","Navigateandpickupa"
"","","Medium","(21,15,21)","8","2065/2469","1",""
"diamond","","","","","","","singlediamondintheworld"
"","","Hard","(71,31,71)","1072","45033/56077","1",""
"","","Easy","(13,9,13)","1","875/992","1",""
"gather","","","","","","","Navigateandpickupa"
"","","Medium","(21,15,21)","6","2053/2455","1",""
"wood","","","","","","","singlelogintheworld"
"","","Hard","(71,31,71)","1071","45018/30157","1",""
"","","Easy","(13,9,13)","1","875/991","2","Navigatetoaspecific"
"place","","","","","","",""
"","","Medium","(21,15,21)","13","2090/2499","2","locationandplacealog"
"wood","","","","","","",""
"","","Hard","(71,31,71)","1071","45017/56061","2",""
"","","","","","","","frominventory"
"","","Easy","(13,9,13)","1","875/992","1","Firstlocateaplankinthe"
"pickup","and","","","","","",""
"","","Medium","(21,15,21)","16","2097/2511","1","world,thenplaceitata"
"place","","","","","","",""
"","","Hard","(71,31,71)","1071","45018/56077","1",""
"","","","","","","","specificlocation"
"","","Easy","(13,9,13)","3","883/1002","1",""
"gather","multi","","","","","","Navigateandpickupathree"
"","","Medium","(21,15,21)","18","2106/2521","1",""
"wood","","","","","","","logsintheworld"
"","","Hard","(71,31,71)","1071","45019/56077","1",""
"","","Easy","(13,9,13)","18","933/1063","1","Placeablockatanelevated"
"climb","","Medium","(21,15,21)","7","2065/2468","1",""
"","","","","","","","ylocationbyclimbinga"
"","","Hard","(71,31,71)","18","20958/26024","1",""
"","","","","","","","staircase"
"","","Easy","(21,13,21)","60","2285/2733","1",""
"cut","","","","","","","Cutdownatreeby"
"","","Medium","(41,31,41)","75","7476/9208","1",""
"tree","","","","","","","removingitswood"
"","","Hard","(65,31,65)","946","38115/47462","9",""
"","","Easy","(13,9,13)","80","881/997","2",""
"build","","","","","","","Buildawoodenbridgeover"
"","","Medium","(21,15,21)","255","2091/2503","4",""
"bridge","","","","","","","water"
"","","Hard","(71,31,71)","409","20917/25974","6",""
"","","Easy","(13,9,13)","5","896/1017","5",""
"build","","","","","","","Collectblockstobuilda"
"","","Medium","(21,15,21)","10","2072/2479","5",""
"cross","","","","","","","crossshape"
"","","Hard","(71,31,71)","1071","45003/30152","5",""
"","","Easy","(13,9,13)","9","914/1040","9",""
"build","","","","","","","Collectblockstobuilda"
"","","Medium","(21,15,21)","16","2099/2512","9",""
"wall","","","","","","","wall"
"","","Hard","(71,31,71)","1071","45013/56077","9",""
"","","Easy","(13,9,13)","26","983/1126","26",""
"build","","","","","","","Collectblockstobuilda"
"","","Medium","(21,15,21)","36","2182/2614","26",""
"well","","","","","","","well"
"","","Hard","(71,31,71)","1071","45039/56078","26",""
"","","Easy","(13,9,13)","1","880/996","5",""
"build","","","","","","","Buildavarietyofshapes"
"","","Medium","(21,15,21)","12","2094/2503","9",""
"shape","","","","","","","withitemsfrominventory"
"","","Hard","(71,31,71)","1071","24308/56078","27",""
"","","Easy","(13,9,13)","5","896/1017","5",""
"collectand","","","","","","","Collectblockstobuilda"
"","","Medium","(21,15,21)","11","2082/2490","11",""
"build","shape","","","","","","varietyofshapes"
"","","Hard","(71,31,71)","1071","45023/30167","27",""
"","","Easy","(21,11,21)","1","2079/2476","186",""
"build","","","","","","",""
"","","Medium","(41,11,41)","216","8058/9929","186","Buildalogcabin"
"cabin","","","","","","",""
"","","Hard","(65,11,65)","4066","30269/37664","186",""
