"Categories","Action","Romance","4panelscartoon","Fiction","Plot"
"Top1sequence,withlength1","[ASP]","[ASP]","[ACT]","[ACT]","[ACT]"
"Top2sequence,withlength1","[ACT]","[ACT]","[ASP]","[ASP]","[ASP]"
"Top3sequence,withlength1","[SUB]","[SUB]","[SUB]","[SUB]","[SUB]"
"Top4sequence,withlength1","[SCE]","[SCE]","[NON]","[SCE]","[NON]"
"Top1sequence,withlength2","[ASP,ASP]","[ASP,ASP]","[ACT,ACT]","[ACT,ACT]","[ACT,ACT]"
"Top2sequence,withlength2","[ACT,ACT]","[ACT,ACT]","[ASP,ASP]","[ASP,ASP]","[ASP,ASP]"
"Top3sequence,withlength2","[SUB,SUB]","[SUB,SUB]","[SUB,SUB]","[SUB,SUB]","[SUB,SUB]"
"Top4sequence,withlength2","[ACT,ASP]","[ASP,ACT]","[ASP,ACT]","[ASP,ACT]","[ASP,ACT]"
"Top1sequence,withlength3","[ASP,ASP,ASP]","[ASP,ASP,ASP]","[ACT,ACT,ACT]","[ACT,ACT,ACT]","[ACT,ACT,ACT]"
"Top2sequence,withlength3","[ACT,ACT,ACT]","[SUB,SUB,SUB]","[ASP,ASP,ASP]","[ASP,ASP,ASP]","[ASP,ASP,ASP]"
"Top3sequence,withlength3","[SUB,SUB,SUB]","[ACT,ACT,ACT]","[SUB,SUB,SUB]","[SUB,SUB,SUB]","[SUB,SUB,SUB]"
"","[ACT,ASP,ASP]","[ASP,ASP,ACT]","[ASP,ACT,ACT]","[ASP,ASP,ACT]","[ASP,ACT,ACT]"
"","[ASP,ASP,ACT]","[ACT,ASP,ASP]","[ACT,ASP,ASP]","[ACT,ACT,ASP]","[ACT,ACT,ASP]"
"Top4sequence,withlength3","","","","",""
"","[ACT,ACT,ASP]","[ASP,ACT,ACT]","[ACT,ACT,ASP]","",""
"","","[ACT,ACT,ASP]","[ASP,ASP,ACT]","",""
"Top1sequence,withlength4","[AS,AS,AS,AS]","[AS,AS,AS,AS]","[AC,AC,AC,AC]","[AC,AC,AC,AC]","[AC,AC,AC,AC]"
"Top2sequence,withlength4","[AC,AC,AC,AC]","[AC,AC,AC,AC]","[AS,AS,AS,AS]","[AS,AS,AS,AS]","[AS,AS,AS,AS]"
"Top3sequence,withlength4","[SU,SU,SU,SU]","[SU,SU,SU,SU]","[SU,SU,SU,SU]","[SU,SU,SU,SU]","[SU,SU,SU,SU]"
"","[AS,AS,AS,AC]","[AC,AC,AC,AS]","[AC,AC,AC,AS]","[AS,AC,AC,AC]","[AC,AC,AC,AS]"
"Top4sequence,withlength4","","[AC,AS,AS,AS]","","",""
"","","[AC,AC,AS,AS]","","",""
