"Sample","Pb","Th","U","Th/U","207Pb/235U","207Pb/235U","206Pb/238U","206Pb/238U","206Pb/238U","206Pb/238U"
"","ppm","ppm","ppm","","Ratio","1sigma","Ratio","1sigma","Age (Ma)","1sigma"
"805-25","","","","","","","","","",""
"80525-01","2.5","655","627","1.04","0.03673","0.00553","0.00254","0.00011","16.3","0.7"
"80525-02","2.2","410","621","0.66","0.02115","0.00319","0.00266","0.00010","17.1","0.7"
"80525-03","3.3","832","693","1.20","0.04111","0.00453","0.00279","0.00009","18.0","0.6"
"80525-04","1.1","140","241","0.58","0.04618","0.00921","0.00271","0.00013","17.4","0.8"
"80525-06","0.9","145","237","0.61","0.03219","0.00570","0.00272","0.00017","17.5","1.1"
"80525-08","2.3","506","655","0.77","0.01795","0.00256","0.00255","0.00008","16.4","0.5"
"80525-09","0.6","80","170","0.47","0.01986","0.00585","0.00261","0.00013","16.8","0.8"
"80525-11","2.7","543","744","0.73","0.02171","0.00213","0.00253","0.00008","16.3","0.5"
"80525-12","1.0","137","260","0.53","0.02676","0.00616","0.00263","0.00016","17.0","1.0"
"80525-13","0.9","144","255","0.57","0.01973","0.00319","0.00265","0.00013","17.1","0.9"
"80525-14","0.7","91","185","0.49","0.03562","0.00331","0.00264","0.00016","17.0","1.0"
"80525-15","0.7","116","189","0.61","0.02134","0.00217","0.00259","0.00014","16.7","0.9"
"80525-16","0.7","116","201","0.58","0.01661","0.00564","0.00263","0.00016","16.9","1.0"
"80525-17","1.3","183","382","0.48","0.01871","0.00443","0.00258","0.00011","16.6","0.7"
"80525-18","0.9","109","210","0.52","0.04542","0.00634","0.00269","0.00015","17.3","1.0"
"80525-19","1.9","341","560","0.61","0.01819","0.00217","0.00251","0.00008","16.2","0.5"
"80525-20","0.6","97","182","0.54","0.02240","0.00478","0.00259","0.00014","16.7","0.9"
"80525-21","0.9","155","274","0.57","0.01907","0.00422","0.00243","0.00015","15.7","1.0"
"80525-23","1.5","239","439","0.54","0.01787","0.00178","0.00247","0.00010","15.9","0.6"
"80525-24","2.5","512","612","0.84","0.05162","0.00732","0.00260","0.00013","16.8","0.8"
"80525-25","1.1","139","262","0.53","0.03832","0.00583","0.00259","0.00013","16.7","0.8"
"803-33","","","","","","","","","",""
"80333-04","2.0","322","554","0.58","0.02008","0.00208","0.00288","0.00011","18.5","0.7"
"80333-05","0.9","127","235","0.54","0.03267","0.00476","0.00269","0.00016","17.3","1.0"
"80333-06","1.3","230","397","0.58","0.01755","0.00386","0.00254","0.00013","16.4","0.9"
"80333-08","0.7","100","190","0.53","0.01271","0.00364","0.00266","0.00016","17.1","1.0"
"80333-09","2.5","474","685","0.69","0.01708","0.00191","0.00268","0.00008","17.3","0.5"
"80333-10","3.0","764","842","0.91","0.01525","0.00122","0.00259","0.00009","16.6","0.6"
"80333-12","0.8","115","227","0.51","0.02932","0.00501","0.00287","0.00015","18.5","0.9"
"80333-14","1.2","260","334","0.78","0.02699","0.00543","0.00260","0.00017","16.7","1.1"
"80333-17","1.0","170","288","0.59","0.01959","0.00320","0.00259","0.00016","16.7","1.0"
"80333-18","0.8","110","241","0.46","0.01712","0.00356","0.00270","0.00014","17.4","0.9"
"80333-19","1.3","246","343","0.72","0.01901","0.00660","0.00254","0.00011","16.4","0.7"
"80333-20","0.8","114","237","0.48","0.02429","0.00591","0.00267","0.00013","17.2","0.9"
"80333-22","3.0","705","759","0.93","0.02449","0.00373","0.00261","0.00008","16.8","0.5"
"80333-23","0.8","100","203","0.49","0.01682","0.00363","0.00288","0.00018","18.5","1.2"
"80333-24","0.8","135","208","0.65","0.02878","0.00631","0.00262","0.00021","16.9","1.4"
"80333-25","1.1","276","267","1.03","0.02284","0.00257","0.00242","0.00014","15.6","0.9"
"80333-26","1.5","331","420","0.79","0.01963","0.00351","0.00249","0.00010","16.0","0.6"
"80333-27","1.1","238","331","0.72","0.02231","0.00295","0.00249","0.00014","16.0","0.9"
"803-35","","","","","","","","","",""
"80335-01","0.8","106","220","0.48","0.01783","0.00285","0.00279","0.00014","17.9","0.9"
"80335-03","1.9","456","545","0.84","0.01707","0.00187","0.00239","0.00008","15.4","0.5"
"80335-04","0.7","86","184","0.47","0.02596","0.00574","0.00278","0.00017","17.9","1.1"
"80335-06","1.6","244","445","0.55","0.02057","0.00297","0.00274","0.00013","17.6","0.8"
"80335-09","1.2","206","345","0.60","0.02190","0.00373","0.00268","0.00011","17.3","0.7"
"80335-11","0.8","107","205","0.52","0.02034","0.00423","0.00262","0.00020","16.9","1.3"
"80335-12","1.4","168","387","0.43","0.02446","0.00218","0.00280","0.00013","18.0","0.8"
"80335-14","2.5","544","723","0.75","0.02050","0.00258","0.00251","0.00008","16.2","0.5"
"80335-17","1.1","212","329","0.65","0.01799","0.00428","0.00254","0.00011","16.4","0.7"
"80335-18","1.5","323","435","0.74","0.01603","0.00338","0.00259","0.00009","16.7","0.6"
"80335-23","1.9","316","515","0.61","0.01840","0.00205","0.00285","0.00011","18.4","0.7"
"80335-25","1.0","137","263","0.52","0.01570","0.00211","0.00277","0.00013","17.8","0.9"
"80335-26","1.5","205","397","0.52","0.01596","0.00183","0.00280","0.00010","18.0","0.7"
"2009-37","","","","","","","","","",""
"200937-02","0.9","146","265","0.55","0.01769","0.00445","0.00278","0.00014","17.9","0.9"
"200937-04","0.7","113","235","0.48","0.01578","0.00247","0.00233","0.00013","15.0","0.8"
"200937-05","1.0","174","272","0.64","0.01899","0.00346","0.00283","0.00017","18.2","1.1"
"200937-06","0.5","71","163","0.43","0.01600","0.00328","0.00259","0.00020","16.7","1.3"
"200937-07","0.8","128","242","0.53","0.02158","0.00407","0.00241","0.00013","15.5","0.9"
"200937-08","1.3","256","359","0.71","0.01543","0.00255","0.00247","0.00011","15.9","0.7"
"200937-09","0.5","31","150","0.21","0.02404","0.00404","0.00272","0.00018","17.5","1.2"
"200937-13","1.0","161","296","0.54","0.02307","0.00394","0.00265","0.00012","17.0","0.8"
"200937-16","0.9","142","225","0.63","0.02835","0.00381","0.00295","0.00014","19.0","0.9"
"200937-17","1.4","230","444","0.52","0.01838","0.00323","0.00261","0.00010","16.8","0.6"
"200937-18","0.9","180","265","0.68","0.02072","0.00264","0.00251","0.00014","16.1","0.9"
"2009-37","","","","","","","","","",""
