"Sample","Pb","Th","U","Th/U","207Pb/235U","207Pb/235U","206Pb/238U","206Pb/238U","206Pb/238U","206Pb/238U"
"","ppm","ppm","ppm","","Ratio","1sigma","Ratio","1sigma","Age (Ma)","1sigma"
"ZK4406-1","","","","","","","","","",""
"ZK4406-1.12","1.5","258","466","0.55","0.04123","0.00464","0.00262","0.00010","16.9","0.6"
"ZK4406-1.13","0.5","76","169","0.45","0.09834","0.00906","0.00263","0.00016","16.9","1.0"
"ZK4406-1.14","0.6","98","178","0.55","0.10024","0.01076","0.00275","0.00014","17.7","0.9"
"ZK4406-1.15","0.7","114","238","0.48","0.09156","0.01117","0.00272","0.00015","17.5","1.0"
"ZK4406-1.16","1.2","230","408","0.56","0.05757","0.00645","0.00246","0.00011","15.8","0.7"
"ZK4406-1.17","1.3","224","442","0.51","0.03759","0.00313","0.00247","0.00010","15.9","0.6"
"ZK4406-1.18","1.0","164","351","0.47","0.05158","0.00460","0.00255","0.00012","16.4","0.8"
"ZK4406-1.19","0.5","82","173","0.47","0.09878","0.00913","0.00282","0.00016","18.1","1.0"
"ZK4406-1.20","1.4","226","453","0.50","0.05541","0.00549","0.00271","0.00010","17.4","0.6"
"ZK4406-1.21","0.7","96","221","0.44","0.10445","0.01267","0.00256","0.00012","16.5","0.8"
"ZK4406-1.22","1.3","237","414","0.57","0.05924","0.00551","0.00260","0.00010","16.7","0.6"
"ZK4406-1.23","0.6","81","180","0.45","0.10930","0.01290","0.00283","0.00018","18.2","1.1"
"ZK4406-1.24","0.8","157","257","0.61","0.07104","0.00666","0.00258","0.00011","16.6","0.7"
"ZK4406-1.25","1.4","238","427","0.56","0.04731","0.00435","0.00266","0.00011","17.1","0.7"
"ZK4406-1.26","1.9","359","585","0.61","0.03782","0.00350","0.00274","0.00009","17.6","0.6"
"ZK4406-1.27","0.7","112","229","0.49","0.07103","0.00665","0.00283","0.00012","18.2","0.8"
"ZK4406-1.28","1.1","230","384","0.60","0.05227","0.00495","0.00242","0.00010","15.6","0.6"
"ZK4406-1.29","1.2","223","370","0.60","0.05723","0.00573","0.00264","0.00012","17.0","0.8"
"ZK4406-1.30","0.9","120","289","0.41","0.06517","0.00633","0.00267","0.00011","17.2","0.7"
"ZK4406-2","","","","","","","","","",""
"ZK4406-2.01","0.5","94","177","0.53","0.09389","0.00912","0.00249","0.00014","16.0","0.9"
"ZK4406-2.02","0.8","149","232","0.64","0.07060","0.00602","0.00266","0.00012","17.1","0.8"
"ZK4406-2.03","0.6","89","174","0.51","0.10898","0.01408","0.00275","0.00015","17.7","1.0"
"ZK4406-2.04","0.8","144","277","0.52","0.05120","0.00385","0.00241","0.00010","15.5","0.7"
"ZK4406-2.05","1.8","486","577","0.84","0.02829","0.00277","0.00245","0.00009","15.8","0.6"
"ZK4406-2.06","1.0","221","309","0.71","0.04635","0.00452","0.00264","0.00013","17.0","0.8"
"ZK4406-2.07","0.7","98","220","0.45","0.07632","0.00762","0.00267","0.00013","17.2","0.8"
"ZK4406-2.08","1.2","153","380","0.40","0.04354","0.00443","0.00274","0.00010","17.6","0.6"
"ZK4406-2.09","0.8","120","253","0.47","0.07198","0.00624","0.00233","0.00012","15.0","0.8"
"ZK4406-2.10","0.5","84","166","0.51","0.09816","0.00993","0.00265","0.00015","17.1","0.9"
"ZK4406-2.11","1.3","264","418","0.63","0.04133","0.00335","0.00255","0.00010","16.4","0.6"
"ZK4406-2.12","0.6","97","189","0.51","0.08496","0.00998","0.00261","0.00013","16.8","0.8"
"ZK4406-2.13","0.5","76","164","0.47","0.10703","0.01274","0.00256","0.00014","16.5","0.9"
"ZK4406-2.14","0.7","101","237","0.43","0.06496","0.00454","0.00266","0.00012","17.1","0.8"
"ZK4406-2.15","1.0","211","298","0.71","0.05666","0.00552","0.00257","0.00011","16.6","0.7"
"ZK4406-2.16","0.6","77","184","0.42","0.09422","0.00954","0.00271","0.00014","17.5","0.9"
"ZK4406-2.17","0.6","84","204","0.41","0.06952","0.00619","0.00260","0.00016","16.8","1.0"
"ZK4406-2.18","0.6","125","189","0.66","0.07980","0.00520","0.00269","0.00013","17.3","0.8"
"ZK4406-2.19","0.5","90","165","0.54","0.09627","0.00747","0.00273","0.00015","17.6","1.0"
"ZK4406-2.20","1.0","134","332","0.40","0.05272","0.00560","0.00263","0.00011","16.9","0.7"
"ZK4406-2.21","0.5","73","172","0.42","0.09111","0.00842","0.00258","0.00011","16.6","0.7"
"ZK4406-2.22","0.9","113","296","0.38","0.05943","0.00515","0.00270","0.00011","17.4","0.7"
"ZK4406-2.23","1.1","163","351","0.46","0.03996","0.00321","0.00264","0.00011","17.0","0.7"
"ZK4406-2.24","1.3","201","404","0.50","0.05346","0.00432","0.00262","0.00008","16.8","0.5"
"ZK4406-2.25","0.9","146","301","0.49","0.05106","0.00426","0.00258","0.00010","16.6","0.7"
"ZK4406-2.26","0.9","164","284","0.58","0.06068","0.00512","0.00254","0.00014","16.4","0.9"
"ZK4406-2.27","0.7","101","194","0.52","0.11166","0.01746","0.00274","0.00013","17.6","0.8"
"ZK4406-2.28","0.7","83","233","0.36","0.05884","0.00452","0.00264","0.00013","17.0","0.8"
"ZK4406-2.29","1.3","192","424","0.45","0.04609","0.00539","0.00245","0.00010","15.8","0.7"
"ZK4406-2.30","0.9","129","273","0.47","0.06431","0.00688","0.00265","0.00011","17.1","0.7"
