"Sample","06XJ160-1","06XJ160-2","06XJ161-1","06XJ161-2","06XJ162","06XJ163-1","06XJ163-2","06XJ163-3","06XJ164-1","06XJ164-2","06XJ165"
"Longitude","84°19′03″N","","84°18′52″N","","84°18′40″","84°18′41″N","","","84°18′29″N","","84°18′29″"
"Latitude","45°54′27″E","","45°54′26″E","","45°54′24″","45°54′24″E","","","45°54′07″E","","45°54′05″"
"SiO2","48.14","52.77","49.18","49.22","47.32","48.03","47.65","47.10","48.74","49.63","50.45"
"Al2O3","13.99","13.77","13.87","13.29","13.96","14.53","14.68","14.61","14.06","13.81","13.85"
"TiO2","1.22","1.45","1.22","1.25","1.00","1.26","1.28","1.27","1.09","1.11","1.20"
"MnO","0.17","0.17","0.19","0.21","0.18","0.20","0.20","0.21","0.17","0.17","0.20"
"MgO","8.27","7.19","7.68","7.82","7.61","6.75","7.10","7.18","8.39","8.05","6.91"
"FeO","12.18","12.78","12.22","12.47","11.76","12.61","12.96","13.11","11.47","11.15","11.81"
"CaO","4.84","4.84","7.91","7.98","10.89","8.39","7.73","8.38","5.27","5.35","7.76"
"Na2O","2.83","4.00","3.56","3.55","2.04","3.32","3.43","3.27","2.27","2.39","3.84"
"K2O","0.48","0.38","0.27","0.19","0.12","0.15","0.12","0.13","0.50","0.47","0.28"
"P2O5","0.08","0.09","0.07","0.07","0.06","0.08","0.08","0.08","0.07","0.07","0.08"
"LOI","6.51","0.70","2.08","2.21","3.53","3.00","3.09","2.90","6.89","6.67","1.93"
"Total","100.07","99.56","99.62","99.65","99.78","99.72","99.75","99.71","100.19","100.11","99.63"
"Mg#","54.76","50.10","52.83","52.76","53.57","48.82","49.41","49.41","56.60","56.26","51.03"
"Sc","51.4","53.8","52.4","52.2","49.2","50.6","50.4","53.6","49.8","48.5","48.4"
"V","368","389","402","393","363","406","401","421","367","360","375"
"Cr","269","122","144","155","279","112","110","115","300","287","95.3"
"Co","54.9","62.7","56.0","57.8","55.1","55.3","76.7","58.1","51.1","51.1","50.1"
"Ni","106","86.1","87.9","93.7","109","79.1","81.6","85.5","109","107","75.6"
"Ga","15.8","13.1","16.1","14.6","15.0","16.7","15.5","16.9","12.7","12.1","15.8"
"Ge","1.80","1.82","1.69","1.71","1.89","2.10","1.83","1.94","1.63","1.53","1.73"
"Rb","14.2","10.2","5.61","3.44","1.71","2.27","1.70","2.02","11.0","10.0","4.59"
"Sr","77.0","84.8","189","170","63.3","87.9","95.9","107","152","165","127"
"Y","23.0","25.5","22.0","21.9","20.6","23.7","23.3","24.2","20.4","20.0","22.8"
"Zr","57.5","64.6","58.3","58.9","49.8","60.6","60.2","62.1","51.4","51.0","58.3"
"Nb","2.73","3.19","2.82","2.91","2.42","2.97","3.01","3.03","2.49","2.44","2.83"
"Cs","7.85","4.65","2.50","1.81","0.530","1.85","2.40","2.56","5.34","4.95","2.56"
"Ba","65.5","58.9","45.1","29.0","20.5","74.5","74.5","81.4","105","98.4","116"
"La","3.37","3.80","2.94","2.96","2.85","3.38","3.17","3.41","2.76","2.73","3.20"
"Ce","9.18","9.82","7.95","8.13","7.82","8.92","8.89","9.40","7.64","7.47","8.70"
"Pr","1.50","1.61","1.29","1.36","1.29","1.47","1.47","1.50","1.26","1.24","1.44"
"Nd","7.66","8.27","6.75","6.95","6.49","7.47","7.65","7.89","6.45","6.41","7.43"
"Sm","2.43","2.69","2.20","2.31","2.14","2.42","2.50","2.50","2.12","2.14","2.43"
"Eu","0.934","1.08","0.956","0.972","0.850","0.947","0.959","0.973","0.837","0.837","0.980"
"Gd","3.23","3.59","3.00","3.11","2.96","3.22","3.37","3.38","2.78","2.77","3.23"
"Tb","0.628","0.721","0.587","0.612","0.577","0.635","0.662","0.662","0.540","0.548","0.631"
"Dy","4.06","4.77","3.93","4.10","3.80","4.28","4.30","4.40","3.56","3.53","4.19"
"Ho","0.869","1.05","0.861","0.895","0.840","0.954","0.961","0.976","0.794","0.770","0.915"
"Er","2.51","2.97","2.50","2.56","2.31","2.77","2.69","2.75","2.24","2.26","2.67"
"Tm","0.366","0.432","0.359","0.381","0.342","0.406","0.395","0.416","0.345","0.338","0.387"
"Yb","2.40","2.90","2.41","2.61","2.28","2.65","2.59","2.71","2.20","2.20","2.54"
"Lu","0.369","0.431","0.380","0.399","0.358","0.405","0.403","0.413","0.343","0.345","0.389"
"Hf","1.79","2.11","1.84","1.96","1.67","1.93","1.97","2.01","1.62","1.62","1.84"
"Ta","0.197","0.247","0.212","0.223","0.200","0.221","0.235","0.227","0.187","0.182","0.208"
"Pb","0.802","0.520","0.173","0.476","0.074","0.245","0.281","0.203","0.268","0.236","0.165"
"Th","0.298","0.356","0.305","0.312","0.293","0.339","0.335","0.340","0.285","0.285","0.315"
"U","0.067","0.078","0.069","0.070","0.066","0.072","0.073","0.076","0.065","0.061","0.068"
