"","","METR-LA(N=207)","","","PEMS04(N=307)","","","PEMS07(N=883)",""
"Method","","","","","","","","",""
"","MAE","MAPE","RMSE","MAE","MAPE","RMSE","MAE","MAPE","RMSE"
"AIMSAN(ours)","304","606","828","1924","3088","1316","2090","3433","885"
"DMSTGCN(2021)","318","634","886","1877","3009","1296","-","-","-"
"Γ","440%","442%","655%","-250%","-263%","-154%","-","-","-"
"TGANet(2022)","305","616","831","1934","3091","1334","-","-","-"
"Γ","033%","162%","036%","052%","010%","135%","-","-","-"
"ST-MetaNet(2022)","306","614","856","2031","3195","1398","-","-","-"
"Γ","065%","130%","327%","527%","335%","587%","-","-","-"
