"Dataset","Relations(A-B)","#A","#B","#A-B"
"ACM","Author-Paper(A-P)","17,351","4,025","13,407"
"","Paper-Subject(P-S)","4,025","72","4,025"
"DBLP","Author-Paper(A-P)","4,057","14,325","19,645"
"","Paper-Term(P-T)","14,325","7,723","85,810"
"","Paper-Venue(P-V)","14,325","20","14,328"
"Amazon","User-item(U-I)","6,170","2,753","195,791"
"","Item-View(I-V)","2,753","3,857","5,694"
"","Item-Category(I-C)","2,753","22","5,508"
"","Item-Brand(I-B)","2,753","334","2,753"
"Yelp","User-Business(U-B)","16,239","14,284","198,397"
"","Business-City(B-Ci)","14,285","47","14,267"
"","User-User(U-U)","16,239","13269","158,590"
"","User-Compliment(U-Co)","16,239","11","76,875"
"","Business-Category(B-Ca)","14,284","511","40,009"
