"Samplenumber","206Pb/204Pb","207Pb/204Pb","208Pb/204Pb","87Sr/86Sr","143Nd/144Nd"
"UpperBasalts","","","","",""
"KB46","19480","15613","39306","0703424","0512855"
"KB82","19531","15612","39343","0703439","0512835"
"KB145","19465","15609","39278","0703428","0512847"
"LowerBasalts","","","","",""
"KB121","ND","ND","ND","0703375","0512863"
"Comenditictrachytes","","","","",""
"KB80","19386","15595","39191","0703629","0512858"
"KB99","19369","15600","39214","0703737","0512847"
"Pantelleritictrachytes","","","","",""
"KB97","19548","15616","39367","0704476","0512852"
"KB144","19289","15599","39170","0704216","0512842"
"KB150","19298","15584","39122","0704141","0512862"
