"Sample no","47-84","49-84","50-84","57-84","58-84","59-84","71-84","Mash-1","Mo-2"
"SiO2","48.38","47.46","49.4","48.3","49.48","49.98","49.94","47.22","47.94"
"TiO2","1.78","1.03","0.96","1.63","1.5","1.64","1.79","1.7","2.99"
"Al2O3","12.47","16.07","15.25","13.98","15.48","14.6","18.79","15.45","14.66"
"FeO","12.03","10.12","9.53","10.61","9.14","10.12","8.56","10.71","13.87"
"MnO","0.21","0.19","0.17","0.19","0.18","0.2","0.16","0.24","0.19"
"MgO","7.5","7.97","7.69","7.54","7.63","7.31","6.52","9.18","4.33"
"CaO","9.72","8.48","8.44","9.68","10.21","9.16","10.86","8.65","12.7"
"Na2O","2.99","2.67","2.73","3.13","2.51","3.35","2.06","2.87","0.72"
"K2O","0.44","0.69","1.18","0.48","0.72","0.62","1.13","0.2","0.95"
"P2O5","0.21","0.13","0.11","0.18","0.19","0.2","0.3","0.19","0.37"
"LOI","3.72","4.46","3.67","4.22","2","2.02","0.52","2.74","1.45"
"Total","99.59","99.33","99.13","99.94","99.04","99.2","100.6","99.15","99.78"
"Rb","10","14","22","17","32","28","22","7","430"
"Ba","102","–","–","–","–","–","–","31","635"
"Sr","108","495","490","230","202","210","328","306","430"
"Zr","91","52","34","100","80","70","150","138","65"
"Y","39","24","30","35","50","64","51","27","–"
"Nb","5","1","7","8.4","9.3","7.9","8.2","21","–"
"Th","0.35","0.1","0.2","0.66","0.45","0.27","5.1","1","1.49"
"Ta","0.32","0.11","0.2","0.2","–","0.36","–","2.5","1.31"
"Hf","2.03","1.05","0.41","3.13","2","2.83","1.5","0","4.73"
"La","3.2","1.8","0.88","3.98","5.34","4.27","17","14","21.1"
"Ce","9","5.1","2.77","10.8","12","10.3","35","27","41.4"
"Pr","1.4","0.87","0.53","1.6","1.7","1.45","4","3","5.00"
"Nd","8.3","4.7","3.3","7.9","8.9","6.9","15","12","20.2"
"Sm","3.27","1.93","1.34","2.76","3.23","2.14","4","3.4","5.31"
"Eu","1.23","0.71","0.73","1.17","1.25","1.24","1.3","0.75","2.27"
"Gd","4.9","2.84","3","6.1","4.3","4.4","5","4.7","6.72"
"Tb","0.86","0.54","0.52","0.98","0.7","0.69","0.7","0.75","1.09"
"Dy","5.8","3.4","3.2","6","4.7","4.5","4.2","4.7","6.48"
"Ho","1.3","0.8","0.77","1.37","1","1.09","0.9","1.1","1.49"
"Er","4.1","2.4","2.4","4","3","3.3","2.5","3.1","4.32"
"Tm","0.65","0.38","0.4","0.59","0.48","0.53","0.38","0.47","0.63"
"Yb","4.13","2.3","2.27","3.48","2.8","3.21","1.8","2.7","3.78"
"Lu","0.7","0.39","0.42","0.57","0.46","0.54","0.37","0.45","0.61"
