"Sample","Location","(87Sr/86Sr)0±2σ","(143Nd/144Nd)0±2σ","(87Sr/86Sr)t**","(143Nd/144Nd)t**","εNd(t)**"
"YY13-09","Wulongba","0705446±8","0512761±5","0704222","0512439","279"
"YY13-10","","0705441±7","0512758±5","0704307","0512437","274"
"YY13-11","","0705445±7","0512762±5","0704216","0512443","285"
"YY13-105","","0705371±7","0512762±5","0704370","0512438","277"
"YY13-106","","0705523±8","0512751±5","0704130","0512428","257"
"YY13-108","","0705452±8","0512762±5","0704476","0512433","267"
"YY13-109","Tanglanghe","0704635±8","0512715±5","0703967","0512491","381"
"YY13-110","","0704428±10","0512724±5","0703853","0512494","386"
"YY13-111","","0704619±8","0512724±4","0704176","0512493","383"
"YY13-113","","0704505±7","0512726±5","0703772","0512496","389"
"YY13-117","Maoniuping","0705578±8","0512506±4","0704803","0512329","063"
"YY13-118","","0705556±8","0512509±4","0704750","0512322","050"
"YY13-119","","0704469±8","0512718±5","0704139","0512488","373"
"YY13-121","","0705543±8","0512512±5","0704717","0512321","049"
"DL15-42","","0704512±37","","0703410","",""
"DL15-50","","0704713±23","0512705±6","0704086","0512459","318"
"DL15-16","Wuguiqing","0705599±10","0512583±6","0704958","0512364","132"
"DL15-20","","0705555±10","0512582±6","0704815","0512361","127"
"DL15-23","","0705881±16","0512538±5","0704801","0512310","027"
