"SampleID","","OY541-1","OY541-2","OY541-3a1","OY541-3a2","OY541-3b","OY541-4a1","OY541-4a2","OY541-4b1","OY541-4b2","OY541-5","OY541-6a","OY541-6b","OY541-7a","OY541-7b","OY541-7c","OY541-8"
"Depthtop(m)","","112441","112702","1131105","","","1132135","","","","1133975","113704","","113956","","","114201"
"Depthbottom(m)","","112465","112721","113144","","","1132425","","","","113311","113749","","113913","","","114219"
"SiO2","(wt%)","437","503","556","501","473","452","548","533","464","426","413","426","321","319","426","398"
"TiO2","(wt%)","065","013","005","005","017","016","005","013","015","003","032","042","031","032","005","02"
"Al2O3","(wt%)","132","473","057","076","454","416","113","132","473","176","10","888","185","185","359","132"
"FeO","(wt%)","11","555","232","271","129","748","142","348","593","142","606","503","232","271","413","399"
"MgO","(wt%)","307","199","178","158","237","206","186","174","214","332","188","216","272","292","247","335"
"CaO","(wt%)","378","172","256","281","728","168","252","244","181","349","182","172","105","672","162","104"
"K2O","(wt%)","<010","<010","<010","<010","<010","<010","<010","<010","<010","<010","<010","<010","<010","02","<010","<010"
"S","(wt%)","061","003","005","021","081","115","002","003","049","BDL","002","026","078","003","062","036"
"Se","ppm","36","15","11","27","67","46","13","15","22","2","16","15","136","22","49","47"
"Ni","ppm","2710","230","750","1210","2580","2170","60","230","1990","BDL","290","60","4260","240","3780","30"
"Cu","ppm","1260","167","136","1050","1330","1910","9","35","1450","BDL","3","96","2920","BDL","2560","882"
"Mn","ppm","1020","1280","1380","1280","1790","1380","1850","1860","1490","972","1850","1500","3710","4070","2290","2190"
"Pd","ppb","1730","1","617","1550","2310","3640","2","32","2480","1","51","3","2890","4","5940","4090"
"Pt","ppb","1360","BDL","438","1120","1550","10200","4","17","1550","BDL","14","3","1440","3","3750","2370"
"Au","ppb","302","BDL","32","100","221","600","3","12","214","7","9","BDL","9","3","496","117"
"Ba","ppm","BDL","BDL","BDL","BDL","4","BDL","BDL","BDL","BDL","BDL","9","47","BDL","BDL","BDL","BDL"
"Th","ppm","01","02","03","03","04","1","29","35","04","202","14","13","02","BDL","02","97"
"U","ppm","BDL","BDL","BDL","BDL","BDL","BDL","BDL","04","BDL","11","02","02","05","BDL","BDL","15"
"Nb","ppm","BDL","BDL","BDL","BDL","BDL","BDL","BDL","25","BDL","48","BDL","BDL","BDL","BDL","BDL","BDL"
"Ta","ppm","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","02","BDL","BDL","BDL","BDL","BDL","04"
"Sr","ppm","8","12","12","23","6","10","25","24","9","BDL","13","14","22","8","12","9"
"Y","ppm","31","82","57","49","59","118","63","135","96","117","111","193","47","26","71","169"
"Cr","ppm","1330","330","60","BDL","1720","1170","BDL","500","60","BDL","410","70","160","BDL","BDL","BDL"
"Pb","ppm","39","44","52","149","49","39","14","22","35","351","33","10","22","BDL","77","51"
"La","ppm","1","23","1","22","21","47","19","53","19","36","69","38","31","28","28","44"
"Ce","ppm","23","67","3","53","47","119","49","134","49","72","141","108","8","54","67","102"
"Pr","ppm","03","1","04","06","06","17","06","17","07","08","18","16","1","06","09","13"
"Nd","ppm","12","47","18","26","24","72","25","76","35","31","8","75","4","21","37","53"
"Sm","ppm","BDL","12","02","02","04","18","04","17","07","08","18","21","07","02","09","14"
"Eu","ppm","01","04","01","01","02","03","02","04","03","03","08","06","01","02","03","03"
"Gd","ppm","05","16","08","09","09","23","11","26","15","16","23","31","11","05","13","21"
"Tb","ppm","BDL","03","02","02","01","03","03","05","03","03","03","06","02","BDL","02","04"
"Dy","ppm","05","16","12","11","1","22","15","27","19","19","21","35","11","04","13","29"
"Ho","ppm","BDL","04","02","BDL","02","05","03","06","04","04","05","08","02","BDL","03","07"
"Er","ppm","04","09","04","04","07","13","05","15","1","12","12","21","06","03","07","19"
"Tm","ppm","BDL","01","BDL","BDL","01","02","BDL","02","01","02","02","03","BDL","BDL","01","03"
"Yb","ppm","03","07","04","03","07","11","04","12","08","13","1","16","03","03","06","16"
"As","ppm","BDL","BDL","8","BDL","BDL","5","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL"
"Bi","ppm","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL"
"Te","ppm","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL"
