"Sample ID","n","","Os","","","Ir","","","Ru","","","Rh","","","Pt","","","Pd",""
"Mineral","","Min","Max","Median","Min","Max","Median","Min","Max","Median","Min","Max","Median","Min","Max","Median","Min","Max","Median"
"OY541-1","","","","","","","","","","serpentinized clinopyroxenite","","","","","","","","",""
"Pyrrhotite","39","BDL","1.43","0.65","BDL","2.37","0.81","BDL","7.10","2.00","BDL","BDL","BDL","BDL","0.76","0.56","BDL","0.93","0.93"
"Chalcopyrite","33","BDL","0.94","0.94","BDL","0.25","0.20","BDL","BDL","BDL","BDL","BDL","BDL","BDL","0.81","0.55","BDL","0.98","0.21"
"Pentlandite","30","BDL","3.80","1.37","BDL","3.10","1.86","BDL","27.7","6.76","BDL","16.9","4.39","BDL","2.72","0.65","27.4","566","252"
"OY541-3a","","","","","","","","","","clinopyroxenite","","","","","","","","",""
"Pyrrhotite","18","BDL","2.23","1.52","BDL","3.78","2.68","BDL","22.8","6.98","BDL","0.35","0.35","BDL","0.89","0.62","BDL","0.74","0.72"
"Chalcopyrite","43","BDL","3.77","1.14","BDL","7.48","1.05","BDL","27.6","3.28","BDL","BDL","BDL","BDL","7.30","0.68","BDL","21.21","0.29"
"Pentlandite (I)","10","BDL","0.55","0.55","0.75","1.80","0.91","2.98","4.69","3.41","8.55","9.91","9.12","BDL","1.48","1.48","74.7","85.6","83.0"
"Pentlandite (II)","21","0.42","21.7","3.11","1.60","12.2","4.71","0.80","98.7","16.8","0.35","55.0","16.6","0.42","5.16","1.21","162","198","175"
"OY541-3b","","","","","","","","","","serpentinized clinopyroxenite","","","","","","","","",""
"Pyrrhotite","36","BDL","3.74","1.09","BDL","4.72","1.96","BDL","38.6","4.87","BDL","0.08","0.08","BDL","1.11","0.72","BDL","0.27","0.15"
"Chalcopyrite","18","BDL","BDL","BDL","BDL","0.57","0.40","BDL","0.66","0.66","BDL","BDL","BDL","BDL","0.29","0.29","0.05","2.65","0.13"
"Pentlandite (I)","11","1.84","1.91","1.19","1.84","2.72","2.24","7.45","12.8","8.38","9.37","24.5","11.9","BDL","0.60","0.52","192","227","214"
"Pentlandite (II)","8","BDL","0.46","0.46","BDL","BDL","BDL","0.90","2.81","1.23","1.37","3.62","1.94","BDL","0.49","0.49","496","631","538"
"Pentlandite (III)","28","BDL","3.41","1.83","0.65","7.55","3.37","0.42","23.4","12.3","4.53","62.6","14.1","BDL","BDL","BDL","100","169","134"
"OY541-4a","","","","","","","","","","serpentinized clinopyroxenite","","","","","","","","",""
"Pyrrhotite","58","BDL","1.49","0.90","BDL","3.28","1.18","BDL","20.75","5.60","BDL","2.31","0.19","BDL","2.00","1.00","BDL","3.60","0.12"
"Chalcopyrite","9","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL"
"Pentlandite","39","BDL","2.95","1.24","BDL","26.1","2.65","BDL","34.2","11.7","BDL","65.4","18.8","BDL","0.16","0.16","125","341","246"
"OY541-8b","","","","","","","","","","serpentinized clinopyroxenite","","","","","","","","",""
"Chalcopyrite","2","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL","BDL"
"Pentlandite","47","BDL","8.28","1.26","BDL","12.5","0.80","0.73","41.5","9.98","0.13","67.5","1.26","BDL","5.40","0.84","89.2","185","112"
