"Sample","Unit","","al80","H20+(%)","MatrixType"
"","","","(matrix)","(wholerock)",""
"K16","Tl","","+61","047","BasalticLava"
"K8","Pl","","+137","239","HydratedVitrophyre"
"Vi","V","","+145","362","HydratedVitrophyre"
"13G","C","","+150","234","HydratedVitrophyre"
"rn","E","","+73","054","Devitrified"
"V18","ET","","+65","054","Devitrified"
"79","F","low","+71","","Devitrified"
"16J","","Fmid","+66","070","Devitrified"
"17J","","FUP","+69","045","Devitrified"
"5H","Ll","","+89","200","TrachyphonoliticLava"
"19J","I","","+142","351","HydratedVitrophyre"
