"Sampleno","N72","N75","N73","N71","N74","N79","N94","N78","N98","N77","N95","N69"
"Location","Mutnovsky","Mutnovsky","Mutnovsky","Mutnovsky","Mutnovsky","Mutnovsky","Mutnovsky","Mutnovsky","Mutnovsky","Mutnovsky","Mutnovsky","Gorely/"
"","","","","","","","","","","","","Dvugorbaya"
"LatitudeN","52473","52479","52473","52473","52473","52502","52468","52479","52476","52479","52474","52531"
"LongitudeE","158137","158132","158137","158137","158137","158128","158164","158135","158158","158131","158161","158134"
"Age","Q3","Q3","Q3","Q3","Q3","Q3","Q3","Q3","Q3","Q3","Q3","Q3"
"Rocktype","Basalt","Basalt","Basalt","Basalt","Basalt","Basandesite","Basalt","Basandesite","Basandesite","Andesite","Andesite","Basalt"
"SiO2","491","503","496","501","502","522","508","525","535","585","601","503"
"TiO2","088","088","099","097","100","124","105","098","123","096","088","105"
"A12O3","180","184","184","188","184","170","180","186","169","160","172","159"
"Fe2O3t","102","995","109","105","111","106","113","965","114","942","698","102"
"MnO","017","017","018","018","018","018","021","018","021","023","012","017"
"MgO","688","593","560","531","530","486","471","411","380","260","212","922"
"CaO","111","100","104","107","105","912","987","934","805","598","658","907"
"Na2O","240","263","270","277","269","346","282","300","359","448","369","290"
"K2O","022","044","033","033","038","091","026","062","044","093","182","093"
"P2O5","015","018","013","014","017","034","017","021","021","021","021","029"
"H2O","080","083","049","021","044","021","105","098","047","049","028","018"
"CO2","003","008","003","001","003","001","003","021","005","004","004","002"
"Sum","999","999","997","1001","1004","1001","1003","1004","998","998","1001","1002"
"Co","46","37","38","42","38","30","40","34","35","22","15","44"
"Cr","123","86","67","59","63","69","50","53","19","<18","<18","366"
"Ni","68","39","20","34","10","10","9","20","<2","<2","4","142"
"V","296","327","340","332","329","300","343","282","321","189","151","249"
"Zn","76","76","89","88","90","85","99","81","107","113","70","82"
"Ce","21","19","22","<10","20","20","12","14","17","25","20","41"
"La","<14","<14","<14","<14","<14","<14","<14","<14","<14","<14","<14","<14"
"Nb","2","4","3","3","2","6","3","3","5","5","7","7"
"Ga","16","20","18","19","16","17","21","18","21","22","19","15"
"Pb","6","8","9","17","9","6","5","8","6","14","9","11"
"Pr","<4","<4","<4","<4","<4","<4","<4","<4","<4","<4","<4","<4"
"Rb","<4","7","5","4","5","13","<4","11","8","16","35","16"
"Ba","112","146","120","154","149","309","158","261","168","313","470","313"
"Sr","419","408","402","417","412","464","420","436","409","376","357","437"
"Th","<4","<4","<4","6","<4","<4","<4","<4","<4","<4","<4","5"
"Y","21","20","22","23","24","28","25","24","28","41","35","24"
"Zr","52","61","55","54","58","111","62","82","75","113","162","96"
