"","NWPS (only","Volcanic ash","KSSC"
"","includes","layers","(30% ash layers)"
"","dispersed ash)","",""
"Rb","59.2","55.3","58.0"
"Ba","993","530","854"
"Th","4.77","3.80","4.48"
"U","2.20","1.47","1.98"
"Nb","6.27","3.96","5.58"
"K","19426","20626","19786"
"La","15.4","13.4","14.8"
"Ce","33.8","31.5","33.2"
"Pb","14.3","14.1","14.2"
"Pr","","4.36","—"
"Sr","215","194","209"
"Nd","16.6","18.6","17.2"
"Sm","3.71","4.73","4.02"
"Zr","115","156","127"
"Hf","2.86","4.21","3.26"
"Eu","0.99","1.27","1.07"
"Ti","4163","3511","3967"
"Gd","","5.26","—"
"Tb","0.66","0.88","0.73"
"Dy","","5.59","—"
"Li","31.7","—","—"
"Y","23.4","37.5","27.6"
"Ho","—","1.24","—"
"Er","","3.48","—"
"Tm","—","0.55","—"
"Yb","2.26","3.78","2.71"
"Lu","0.33","0.61","0.41"
"87Sr/86Sr","0.706771","0.703552","0.705873"
"143Nd/144Nd","0.512635","0.513033","0.512764"
"176Hf/177Hf","0.283000","0.283223","0.283086"
"206Pb/204Pb","18.631","18.359","18.550"
"207Pb/204Pb","15.603","15.505","15.574"
"208Pb/204Pb","38.619","38.125","38.473"
