"Location","M","M","M","M","M","M","M","M","G","G","G","G","G","G","G","Kronotsky","Kamchatsky","Kamchatsky"
"","","","","","","","","","","","","","","","","Peninsula","Peninsula","Peninsula"
"Sample no.","N72","N75","N71","N79","N94","N78","N98","N77","N69","N87","N89","N88","N84","N86","N58","881","6539-4","D210-1"
"Rock type","B","B","B","BA","B","BA","BA","A","B","BA","BA","BA","BA","TA","R","AM","AM","AM"
"Li","5.57","6.16","6.16","7.55","4.76","5.49","7.05","13.2","6.59","9.92","9.65","9.35","11.6","16.4","22.5","6.37","10.2","20.3"
"Sc","38.4","33.1","39.0","34.6","34.1","29.1","39.7","27.7","32.5","27.3","27.4","29.6","25.0","23.9","12.0","51.1","38.9","45.7"
"V","391","312","438","288","316","269","300","169","336","228","239","252","210","205","28.0","478","240","254"
"Cr","120","69.7","49.7","49.1","28.8","31.6","2.06","0.80","359","152","80.7","88.0","93.8","13.3","1.16","212","393","535"
"Co","36.0","28.8","30.9","25.4","27.4","24.0","23.0","14.5","42.7","30.3","26.5","26.8","22.8","17.9","1.61","47.6","31.4","61.8"
"Ni","51.5","29.8","24.7","16.7","14.9","21.0","3.81","6.53","156","69.7","42.2","36.0","42.0","11.3","2.36","87.6","99.9","216"
"Cu","131","125","105","78.9","128","107","105","71.5","90.3","77.0","83.3","88.4","86.3","109","4.36","61.4","14.7","86.3"
"Zn","77.6","75.1","88.5","81.9","90.9","76.6","105","106","81.0","82.7","80.7","81.8","80.3","89.2","64.7","127","47.0","92.3"
"Ga","18.2","16.8","20.4","17.3","18.2","17.6","19.4","19.0","17.1","16.6","17.3","17.5","17.0","18.0","16.8","21.4","13.8","17.0"
"Rb","2.87","4.65","3.76","12.0","3.48","7.97","5.17","12.4","14.4","28.8","21.6","17.3","36.9","53.2","55.2","0.41","3.64","7.32"
"Sr","430","404","433","459","408","429","406","367","454","427","508","476","416","365","201","117","170","171"
"Y","17.3","18.3","20.0","25.6","21.4","21.6","26.7","37.5","22.4","32.0","26.2","25.5","33.9","43.8","44.7","57.0","24.6","25.6"
"Zr","44.2","51.3","43.8","103","50.6","76.1","59.0","105","95.3","178","148","130","216","301","338","177","60.4","63.5"
"Nb","0.99","1.18","0.86","2.89","0.97","1.70","1.13","1.70","2.89","4.96","4.50","3.70","5.94","8.25","9.71","4.11","1.19","0.65"
"Mo","0.31","","0.43","","","","","","0.65","","","","","","","0.47","0.10","0.23"
"Sn","0.60","1.05","0.70","0.95","1.23","0.98","0.85","1.36","0.89","1.44","1.15","1.34","1.60","2.79","2.69","1.55","0.41","0.53"
"Sb","0.15","0.14","0.15","0.09","0.18","0.21","0.28","0.44","0.06","0.19","0.12","0.11","0.27","0.41","0.40","","",""
"Cs","0.25","0.16","0.34","0.39","0.29","0.40","0.29","1.01","0.46","0.60","0.83","0.69","1.60","2.36","2.11","0.01","0.08","0.35"
"Ba","110","196","126","343","169","278","180","316","284","476","498","412","564","732","911","6.11","66.6","17.6"
"La","3.87","4.72","3.62","10.0","4.28","6.78","4.79","7.35","9.51","15.8","14.5","12.5","18.6","24.9","26.3","5.27","1.85","1.54"
"Ce","10.5","12.4","10.2","25.2","12.0","17.1","13.7","21.2","23.7","38.4","35.1","30.3","44.9","59.7","62.1","17.5","6.28","5.59"
"Pr","1.69","1.99","1.72","3.80","2.04","2.62","2.39","3.66","3.44","5.56","5.02","4.35","6.35","8.40","8.44","3.15","1.13","1.13"
"Nd","8.54","10.1","8.97","18.2","10.8","12.9","12.8","19.2","15.8","25.3","22.7","20.0","28.7","37.1","36.1","16.8","6.22","6.46"
"Sm","2.51","2.89","2.72","4.68","3.25","3.48","3.88","5.63","3.99","6.11","5.39","4.83","6.76","8.67","8.08","5.70","2.26","2.33"
"Eu","0.87","1.01","0.96","1.52","1.15","1.15","1.37","1.71","1.22","1.63","1.58","1.45","1.72","2.01","1.91","1.96","0.80","0.97"
"Gd","2.72","3.30","3.05","5.01","3.76","3.86","4.54","6.31","3.93","6.29","5.44","4.98","6.87","8.69","7.86","7.29","2.97","3.11"
"Tb","0.47","0.56","0.53","0.82","0.64","0.65","0.78","1.09","0.64","1.00","0.86","0.79","1.09","1.38","1.29","1.34","0.56","0.58"
"Dy","2.98","3.57","3.41","5.06","4.17","4.08","5.09","6.99","3.87","6.11","5.27","4.89","6.62","8.36","8.09","8.87","3.76","3.87"
"Ho","0.62","0.75","0.71","1.05","0.88","0.85","1.07","1.48","0.79","1.26","1.08","1.00","1.37","1.71","1.70","1.87","0.79","0.82"
"Er","1.74","2.08","2.01","2.89","2.47","2.39","3.03","4.21","2.20","3.48","2.98","2.78","3.80","4.81","4.92","5.30","2.24","2.32"
"Tm","0.25","0.31","0.29","0.43","0.37","0.36","0.45","0.65","0.32","0.52","0.45","0.42","0.57","0.72","0.77","0.80","0.33","0.34"
"Yb","1.68","2.14","1.96","2.88","2.51","2.43","3.08","4.40","2.12","3.53","3.06","2.81","3.87","4.87","5.41","5.35","2.20","2.30"
"Lu","0.25","0.32","0.29","0.44","0.38","0.37","0.47","0.67","0.31","0.53","0.46","0.43","0.59","0.74","0.83","0.80","0.32","0.34"
"Hf","1.30","1.55","1.36","2.69","1.61","2.05","1.89","3.16","2.46","4.39","3.77","3.19","5.43","7.43","8.10","4.26","1.49","1.51"
"Ta","0.05","0.08","0.05","0.18","0.06","0.11","0.07","0.11","0.16","0.31","0.29","0.24","0.38","0.52","0.63","0.24","0.07","0.04"
"W","0.06","","0.08","","","","","","0.10","","","","","","","","",""
"Tl","0.05","0.02","0.04","0.05","0.02","0.09","0.06","0.07","0.04","0.11","0.12","0.10","0.17","0.22","0.31","0.01","0.02","0.05"
"Pb","2.85","3.84","2.99","4.54","3.78","5.42","4.08","6.41","3.85","6.20","6.49","6.19","9.03","12.7","14.2","0.59","0.01","0.13"
"Th","0.21","0.26","0.22","0.89","0.24","0.69","0.28","0.77","1.04","2.27","1.65","1.34","2.97","4.37","4.04","0.26","0.06","0.04"
"U","0.12","0.13","0.12","0.38","0.14","0.31","0.15","0.37","0.40","0.93","0.67","0.56","1.21","1.79","1.65","0.11","0.03","0.09"
