"","","","","","","","Models","","","","","",""
"DatasetsMetrics","","","","","","","","","","","","",""
"","ConvLSTMPredRNN-v2","","","E3D-LSTMSimVP","VIT","SwinT","Rainformer","Earthformer","PhyDnet","Vid-ODE","PDE-STD","FourcastNet","Ours"
"MSE","1033","568","413","151","621","544","858","418","244","229","231","603","149"
"MovingMNISTMAE","1829","1261","864","498","1349","1117","1892","928","703","692","682","1298","332"
"MAE","55","43","41","30","34","32","--","--","42","39","37","--","21"
"TaxiBJ+MAPE","0621","0469","0422","0307","0362","0306","--","--","0459","0413","0342","--","0243"
"MSE","1262","512","862","409","574","521","773","482","669","498","657","1021","318"
"KTHMAE","1283","506","856","434","592","553","793","523","687","501","659","1049","329"
"MSE","38","39","42","34","44","43","40","37","48","45","44","46","28"
"SEVIRCSI-M×100","419","408","404","459","371","382","366","442","394","342","362","331","471"
"RMSE","0688","0636","0613","0533","0472","0458","0533","0444","0533","0469","0463","0454","0437"
"RainNetMSE","0472","0405","0376","0284","0223","0210","0284","0197","0282","0220","0215","0206","0191"
"MSE","109","96","101","54","87","84","86","72","69","48","37","51","22"
"PDMAE","1003","954","1002","509","812","795","809","734","687","476","389","524","218"
"MSE×10","212","209","182","95","132","121","97","114","108","98","98","102","94"
"RDMAE","527","501","426","178","273","259","432","459","226","207","203","219","168"
"MSE×100","112","89","64","31","81","76","78","74","49","45","43","52","26"
"2DSWEMAE","543","531","302","172","527","503","514","492","201","198","195","217","105"
"AvgRanking","62","35","43","33","33","35","52","47","53","46","52","48","17"
