"Sample","DZ27","DZ30","DZ43","DZ45","DZ47","DZ49","DZ50","DZ52","DZ56"
"","OS","OBS","TT","MBV","TT","OS","TT","TT","OS"
"Geological unit","","","","","","","","",""
"Cr","4","4","4","4","bdl","bdl","bdl","bdl","bdl"
"Co","15","29","3","6","3","6","3","3","2"
"Ni","10","12","7","7","4","1","7","5","7"
"Cu","2","13","8","7","8","3","8","4","6"
"Zn","105","94","117","54","76","110","69","99","179"
"Ga","23","22","23","15","23","23","23","26","30"
"Rb","89","58","128","65","111","119","206","214","210"
"Y","37","26","36","40","31","37","49","39","72"
"Sr","847","944","566","340","293","696","169","196","16"
"Zr","467","253","621","286","786","456","800","933","887"
"Nb","88","54","84","9","84","88","111","75","162"
"Ba","1783","770","1455","516","995","1854","629","1354","49"
"Pb","12","6","14","10","17","17","14","15","20"
"La","103","61","96","36","99","98","114","85","185"
"Ce","286","145","249","86","221","277","244","215","319"
"Th","14","8","14","8","14","12","21","13","34"
