"Sample","B9","BA-9-1","BA-11-1","BA-13-2a","GAR-2","G02","M14","S12","B14-6","S4","M11*","S3*","BA-13-1b*"
"Rocktype","G","G","G","G","G","MG","MG","MG","MD","S","G","G","G"
"SiO2","4830","4980","5010","5070","5280","5192","4921","5196","5780","6235","4542","4586","4800"
"TiO2","08","119","118","134","097","1043","111","124","089","053","179","164","096"
"Al2O3","154","17","1695","176","1756","1829","1876","1913","1735","1674","1181","1177","1215"
"Fe2O3","1005","935","984","108","825","889","88","735","719","413","1626","1575","101"
"MnO","017","015","017","018","019","0165","016","012","012","008","024","023","016"
"MgO","809","544","594","495","429","48","338","21","32","081","101","994","1365"
"CaO","1055","1035","956","936","1123","838","843","624","608","133","1047","1036","983"
"Na2O","201","258","291","306","285","293","346","452","361","397","194","169","17"
"K2O","168","097","132","152","162","32","269","352","326","783","144","133","124"
"P2O5","024","018","024","024","028","041","038","039","037","006","043","026","019"
"LOI","24","354","127","029","","","","","049","","","","215"
"Total","998","1005","996","100","10004","100028","9638","9657","1005","9783","999","9883","1005"
"V","242","245","200","262","210","222","215","140","141","10","535","391","192"
"Cr","320","160","90","90","160","50","50","30","120","20","190","204","1100"
"Co","417","316","328","335","24","22","245","14","187","4","595","595","533"
"Ni","63","23","18","10","60","40","35","10","23","5","100","117","299"
"Zn","82","114","93","105","70","80","105","80","101","90","135","125","84"
"Ga","15","188","198","216","14","14","20","22","209","22","17","15","138"
"Rb","385","226","267","325","32","83","696","842","1005","172","346","296","318"
"Sr","507","484","462","595","492","553","741","715","633","188","418","435","445"
"Y","132","177","217","236","226","236","25","315","214","41","225","198","147"
"Zr","58","93","146","169","110","142","1195","154","218","480","78","714","57"
"Nb","55","78","124","134","88","123","11","17","188","33","7","7","51"
"Sn","1","2","2","2","2","2","1","1","3","4","1","1","2"
"Cs","093","05","048","062","07","35","11","141","358","1","15","14","14"
"Ba","265","298","462","440","572","631","543","909","732","641","354","340","248"
"La","112","168","26","287","246","278","29","38","394","595","185","154","103"
"Ce","222","336","527","575","499","551","555","695","752","108","35","328","228"
"Pr","29","426","649","695","591","651","69","87","868","124","45","423","309"
"Nd","119","168","254","266","24","263","275","335","31","435","195","188","13"
"Sm","282","375","552","562","523","558","58","69","598","85","47","45","303"
"Eu","1","131","17","167","153","161","18","24","16","17","15","162","106"
"Gd","274","381","507","554","495","533","55","78","547","87","51","486","31"
"Tb","046","062","078","086","079","081","08","11","08","12","07","078","049"
"Dy","264","351","442","478","442","445","46","6","414","72","44","375","296"
"Ho","056","075","087","1","086","086","09","12","086","15","08","081","062"
"Er","157","203","249","269","251","25","26","35","242","47","24","219","169"
"Tm","023","031","036","041","037","0371","04","05","036","08","03","029","026"
"Yb","143","184","215","233","232","232","23","3","211","5","2","2","148"
"Lu","022","03","034","038","034","0345","04","04","034","08","03","028","024"
"Hf","16","26","37","43","32","36","3","4","56","13","3","2","17"
"Ta","03","07","09","09","056","078","05","05","16","2","04","04","04"
"W","2","2","1","5","1","29","4","3","3","4","3","6","1"
"Th","163","363","419","486","594","561","5","6","14","17","3","22","154"
"U","058","101","114","128","153","161","150","150","373","400","050","063","047"
