"Sample","147Sm/144Nd","143Nd/144Nd (T = 0)","143Nd/144Nd (T = 35)","2σ","εNd (T = 35)","87Sr/86Sr (T = 0)","87Sr/86Sr (T = 35)","87Rb/86Sr","2σ"
"AL-1","0.1187","0.512500","0.512473","0.0000085","− 2.35","0.706911","0.706521","0.784","0.000017"
"AM-4","0.0067","0.512729","0.512727","0.0000125","2.62","0.705082","0.704870","0.427","0.000011"
"AM-10","0.0728","0.512713","0.512696","0.0000094","2.02","0.705085","0.704856","0.462","0.000014"
"Zar-2","0.1255","0.512754","0.512725","0.0000088","2.57","0.705709","0.705518","0.385","0.000013"
"SZ-3","0.1237","0.512773","0.512745","0.0000085","2.97","0.704508","0.704049","0.924","0.000011"
"B-10","0.1144","0.512443","0.512417","0.0000086","− 3.44","0.706994","0.706925","0.138","0.000012"
"A-131","0.1894","0.512724","0.512681","0.0000086","1.71","0.705381","0.704720","1.33","0.000013"
"SOL-1","0.1077","0.512493","0.512468","0.0000086","− 2.44","0.706684","0.706238","0.897","0.000014"
"GAR-2","0.1318","0.512705","0.512675","0.0000114","1.60","0.705207","0.705114","0.188","0.000014"
"B14-6","0.1167","0.512529","0.512503","0.0000087","− 1.76","0.706096","0.705867","0.459","0.000017"
