"Spot","SiO2","Al2O3","CaO","Na2O","K2O","Total","Si","Al","Ca","Na","K","Sum","An"
"","host (BJS12-08host) Fig. 5a","","","","","","","","","","","",""
"1.1","56.2","27.4","9.5","6.1","0.07","99.4","2.57","1.41","0.47","0.54","0.00","5.00","46"
"1.2","57.5","26.2","8.4","6.9","0.24","99.4","2.63","1.34","0.41","0.61","0.01","5.01","40"
"1.3","56.8","27.1","9.5","6.2","0.17","99.8","2.59","1.38","0.47","0.55","0.01","5.00","46"
"1.4","56.6","26.6","9.1","6.5","0.12","99.0","2.60","1.37","0.45","0.58","0.01","5.00","43"
"1.5","56.4","27.2","9.6","6.3","0.12","99.7","2.58","1.40","0.47","0.56","0.01","5.01","45"
"1.6","56.8","27.2","9.2","6.5","0.07","99.9","2.59","1.39","0.45","0.57","0.00","5.01","44"
"1.7","56.2","25.1","7.9","6.5","0.05","95.8","2.65","1.33","0.40","0.59","0.00","4.98","40"
"1.8","60.1","25.1","6.9","7.9","0.20","100.5","2.71","1.27","0.33","0.69","0.01","5.01","32"
"1.9","58.1","26.0","8.2","7.1","0.20","99.8","2.64","1.33","0.40","0.63","0.01","5.01","39"
"1.1","60.2","25.7","6.9","7.7","0.14","100.8","2.70","1.29","0.33","0.66","0.01","4.99","33"
"1.11","57.2","26.6","9.1","6.2","0.14","99.4","2.61","1.36","0.45","0.55","0.01","4.98","44"
"","host (BJS12-04host) Fig. 5b","","","","","","","","","","","",""
"1.1","58.6","25.7","7.5","7.6","0.30","99.8","2.66","1.31","0.36","0.67","0.02","5.02","35"
"1.2","53.9","28.7","11.5","5.2","0.24","99.7","2.49","1.48","0.57","0.46","0.01","5.01","54"
"1.3","55.1","27.7","10.5","5.8","0.22","99.7","2.54","1.43","0.52","0.52","0.01","5.01","49"
"1.4","57.9","26.5","8.5","6.5","0.22","99.8","2.63","1.35","0.42","0.57","0.01","4.98","42"
"1.5","55.7","27.9","10.2","5.9","0.20","100.2","2.54","1.43","0.50","0.52","0.01","5.01","48"
"1.6","60.8","24.8","6.3","8.3","0.12","100.4","2.73","1.25","0.30","0.72","0.01","5.01","29"
"1.7","54.6","28.1","11.0","5.6","0.16","99.6","2.51","1.45","0.54","0.49","0.01","5.01","52"
"1.8","56.9","27.1","9.2","6.5","0.21","100.1","2.59","1.38","0.45","0.57","0.01","5.01","43"
"1.9","57.4","26.6","8.7","6.8","0.16","99.8","2.61","1.36","0.42","0.60","0.01","5.01","41"
"","MME (BJS12-04MME) Fig. 5c","","","","","","","","","","","",""
"1.1","55.0","27.4","10.4","5.7","0.08","98.8","2.55","1.42","0.51","0.51","0.00","5.00","50"
"1.2","54.6","27.8","10.3","5.5","0.12","98.5","2.53","1.45","0.51","0.50","0.01","5.00","50"
"1.3","54.5","28.5","11.1","5.4","0.13","99.9","2.50","1.47","0.55","0.48","0.01","5.01","53"
"2.4","56.2","27.5","9.7","6.3","0.11","100.0","2.56","1.41","0.48","0.56","0.01","5.01","46"
"2.1","55.7","27.3","9.4","6.4","0.30","99.5","2.56","1.41","0.46","0.57","0.02","5.03","44"
"2.2","57.3","26.8","8.9","6.9","0.12","100.2","2.60","1.37","0.43","0.61","0.01","5.02","41"
"3.1","59.5","24.9","7.0","7.8","0.17","99.6","2.70","1.27","0.34","0.69","0.01","5.01","33"
"3.2","58.1","26.2","8.4","7.2","0.18","100.2","2.64","1.33","0.41","0.63","0.01","5.02","39"
"3.3","61.5","24.2","5.7","8.3","0.29","100.2","2.76","1.22","0.27","0.72","0.02","5.00","27"
"","MME (BJS12-08MME)","","","","","","","","","","","",""
"1.1","56.8","26.6","8.8","6.7","0.16","99.3","2.60","1.37","0.43","0.59","0.01","5.01","42"
"1.2","58.6","25.7","8.0","7.3","0.17","99.9","2.66","1.31","0.39","0.64","0.01","5.01","37"
"1.3","55.5","28.0","9.1","5.3","1.23","99.5","2.56","1.45","0.45","0.48","0.07","5.00","45"
"2.1","60.6","24.5","6.1","8.5","0.13","100.1","2.74","1.24","0.29","0.75","0.01","5.02","28"
"3.1","55.6","27.9","10.2","5.9","0.14","99.9","2.54","1.43","0.50","0.52","0.01","5.00","49"
"4.1","56.2","27.5","9.7","6.0","0.27","99.8","2.57","1.41","0.48","0.53","0.02","5.00","47"
