"MineralSystem","","","Num","Class","Confidence","Map","Fuzzy",""
"","Predictormap","Buffer","","","","","","Fuzzyoperator"
"Component","","","classes","division","factor","Weight","number",""
"","TickalaraMetamorphics","1000","3","1000","1","09","09",""
"","","","","","","","","OR"
"","KoongieParkFormation","1000","3","1000","1","09","09",""
"","DougallsSuite","1000","3","1000","08","09","072",""
"","SallyDownsSupersuite(mafic)","1000","3","1000","08","09","072","OR"
"Source","","","","","","","","OR"
"","SallyDownsSupersuite(felsic)","1000","3","1000","072","09","065",""
"","BiscayFormation","1000","3","1000","063","09","057",""
"","OlympioFormation","1000","3","1000","07","09","063","OR"
"","WoodwardDolerite","1000","3","1000","07","09","063",""
"","Distancetoterraneboundaries","10000","11","1000","1","07","07",""
"Lithospheric","","","","","","","",""
"OrogenicGoldMineralSystem","DistancetomajorNEstructures","5000","6","1000","07","07","049","OR"
"Architecture","","","","","","","",""
"","DistancetomajorNWstrucrures","5000","6","1000","08","07","056",""
"","Distancetonon-majorfaults","1000","6","200","08","05","04",""
"","Distancetofoldhinges","5000","11","500","09","05","045",""
"Depositional","Geologicalcomplexities","NA","11","NA","07","05","035",""
"","","","","","","","","OR"
"sites","Faultbendsdensity","NA","11","NA","09","05","045",""
"","Rheologicalcontrast","NA","11","NA","08","05","04",""
"","Chemicalreactivitycontrast","NA","11","NA","08","05","04",""
"Fertility","ƐNdmap","NA","4","NA","07","05","035",""
"Preservation","Metamorphicmap","NA","4","NA","07","05","035",""
