"Spot","U(ppm)","Th(ppm)","206Pbc(%)","206Pb⁎(ppm)","(1) 206Pb/238U Age","","(2) 206Pb/238U Age","","(3) 206Pb/238U Age","","(1) 208Pb/232Th Age",""
"GS05-0651","102","83","155","377","2671","±45","2682","±44","2660","±52","275","±13"
"GS05-0652","98","83","187","359","2633","±46","2641","±44","2640","±52","259","±14"
"GS05-0653","80","84","324","288","2576","±49","2605","±47","2587","±58","252","±16"
"GS05-0654","185","28","130","659","2587","±39","2602","±39","2598","±40","214","±41"
"GS05-0655","412","312","082","146","2578","±35","2586","±36","2584","±40","2532","±63"
"GS05-0656","183","89","107","647","2566","±39","2576","±38","2570","±42","252","±14"
"GS05-0657","103","106","272","360","2493","±70","2523","±69","2533","±86","228","±16"
"GS05-0658","286","561","084","103","2623","±37","2630","±37","2634","±57","2598","±49"
"GS05-0659","180","185","108","642","2597","±39","2608","±39","2575","±48","2712","±78"
"GS05-06510","135","105","051","485","2635","±41","2626","±41","2630","±47","2672","±70"
"GS05-06511","49","33","234","175","2556","±57","2574","±51","2562","±59","250","±28"
"GS05-06512","45","30","302","161","2575","±55","2573","±53","2566","±62","265","±23"
"GS05-06513","67","53","242","242","2611","±50","2623","±48","2624","±56","252","±18"
"GS05-06514","92","90","149","334","2628","±46","2629","±45","2631","±54","261","±13"
"GS05-06515","126","149","153","453","2604","±42","2613","±41","2619","±52","2535","±88"
