"Samples","Nd","Sr","87Rb","147Sm","87Sr","","143Nd","eSr","eNd","6180"
"","(ppm)","(ppm)","86Sr","144Nd","86Sr","","144Nd","","",""
"Basalt","","","","","","","","","",""
"G54WR","159","198","0104","0192","070491_+","4""","0512219±19""","53""*","75""*","127"
"calcite","0126","612","0004","0209","070650±15","","0512265±29","305","81","+"
"Sheeteddikes","","","","","","","","","",""
"G10","112","162","0029","0209","070535±","4","0512250±25","135","78","85"
"K1","130","388","0008","0194","070519±","4","0512275±20","117","86","68"
"Plagiogranite","","","","","","","","","",""
"G224-3","173","192","0035","0187","070362±","4","0512249±18","-113","82","52"
"Gabbros","","","","","","","","","",""
"G224-2WR","836","196","0010","0201","070370±","3","0512251±19","-95","80","37"
"plag","225","330","0008","0151","070352±","4","0512196±18","-120","78","45"
"ural","951","587","0014","0241","070426±","3","0512285±19","-16","80","26"
"K9WR","0986","188","0001","0271","070304±","5","0512310±18","-186","80","57"
"plag","0399","311","0001","0129","070296±","2","0512180±25","-197","78","60"
"","","","","","","","0512181±19***","","78",""
"cpx","2630","248","0001","0322","070313±","3","0512341±15","-173","77","53"
"OM251plag","0081","156","0001","0159","070311_+","5","0512203_+22","-180","76","64"
"cpx","0411","542","0002","0377","070315±","5","0512346_+25***","-175","76","58"
"OM28WR","0385","132","0001","0264","070383±","5","0512274±22***","-78","77","52"
"Harzburgite","","","","","","","","","",""
"K22","0035","043","0150","0216","070313±","9","0512278±23","-212","83","-"
