"","Table5TraceElementConcentrationsoftheBasalticRockReferenceMaterialsMeasuredbyHR-ICP-MSa","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","GSR-3","",""
"","","BE-N","","","","BE-NLeached","","BIR-1a","","","","GSR-3","","","","Leached","","BHVO-2"
"","","","Melilite-bearingNephelinite","","","","","OlivineTholeiite","","","","","Olivine-Basalt","","","","","Basalt"
"","","","Jochum","","","","","","Jochum","","","","Dulski","","","","",""
"Trace","","","","etal,[2015]","","","","","etal,[2015]","","","","[2001]","","","","",""
"elements","","","","","","","","","","","","","","","","","",""
"mg/g","n57","%RSD","n51-35","","n55","%RSD","n55","%RSD","n54-117","","n55","%RSD","n53","","n55","%RSD","n57","%RSD"
"Li","123","17","129","16","49","102","25","165","3203","22","94","47","","","31","114","45","99"
"V","232","24","2319","20","121","70","324","04","3206","09","167","30","","","129","98","306","27"
"Co","583","10","590","25","35","91","516","07","5222","11","474","16","","","22","106","43","26"
"Ni","275","11","2697","25","179","112","178","19","1689","11","150","15","","","65","115","118","25"
"Cu","710","13","688","33","46","50","122","20","1207","13","493","20","","","21","108","129","25"
"Zn","109","24","1229","28","36","104","61","47","704","16","146","28","","","42","127","90","77"
"Ga","179","10","172","76","93","61","1484","42","1546","15","254","25","","","17","92","216","24"
"Rb","481","05","4761","17","70","38","-","-","02100","39","39","26","382","17","17","103","89","27"
"Nb","111","38","1132","20","148","61","0531","15","0553","25","74","25","","","96","134","186","45"
"Mo","262","22","275","138","074","47","010","132","0068","309","294","21","","","09","163","-","-"
"Cd","021","114","02","","014","95","018","70","0077","221","023","58","","","016","148","023","175"
"Sn","15","67","168","190","14","94","065","34","0701","96","18","61","","","14","89","-","-"
"Sb","017","196","0269","74","0126","37","-","-","0462","69","*","*","","","*","*","-","-"
"Cs","0714","11","0729","32","0161","22","-","-","0006","111","0426","23","042","63","0057","109","0091","36"
"Hf","58","25","572","19","82","48","055","30","05822","15","65","44","67","64","80","107","43","42"
"Ta","47","138","564","34","73","66","0039","42","0041","48","37","76","","","51","99","12","155"
"W","127","68","28","","123","80","*","*","0027","556","041","28","","","038","141","024","51"
"Bi","00064","49","001","","*-","*-","-","-","0005","275","00059","63","","","-","-","00095","92"
"Th","105","16","1058","13","516","11","0026","97","0033","46","63","76","59","27","17","148","112","25"
"Sr","1437","15","1392","14","430","55","73","259","1086","06","1121","25","1146","47","943","98","389","29"
"Zr","268","12","2729","14","351","45","142","17","1480","15","293","40","","","349","93","164","42"
"Ba","1054","12","1039","13","580","62","62","25","675","19","546","24","","","656","93","126","24"
"Pb","440","13","4081","21","04","269","29","54","3037","16","49","27","5","204","14","107","17","165"
"U","258","10","2440","16","200","29","00107","45","0011","39","153","32","144","18","058","116","0409","20"
"Sc","228","08","2255","27","32","65","-","-","4321","14","144","20","","","20","80","32","75"
"Y","30","55","2944","19","25","70","164","48","1560","11","257","24","218","21","349","93","277","33"
"La","82","17","8255","09","29","38","054","54","0627","19","58","47","539","13","12","97","145","27"
"Ce","158","16","1530","14","76","46","188","52","192","12","114","43","103","12","30","89","369","26"
"Pr","175","09","1739","13","96","55","036","51","0372","13","128","28","127","21","44","84","51","23"
"Nd","700","09","6635","14","41","53","228","20","2397","18","54","22","489","29","21","92","239","25"
"Sm","1239","08","1203","10","87","60","108","20","1113","16","105","19","98","22","53","75","59","27"
"Eu","374","14","3679","18","28","65","050","34","052","09","331","21","32","31","22","99","204","30"
"Gd","99","20","1009","26","77","54","18","62","1809","12","87","27","86","34","49","91","61","30"
"Tb","131","21","1303","28","106","56","036","34","0362","14","114","25","109","44","067","89","094","26"
"Dy","67","19","648","17","54","50","249","28","2544","11","57","19","53","37","36","82","52","29"
"Ho","109","18","1084","19","092","62","056","53","0572","08","090","20","084","56","057","91","095","30"
"Er","268","15","2605","19","23","73","167","32","1680","09","201","23","19","57","13","82","248","30"
"Tm","032","55","03216","18","030","85","025","55","0256","16","0234","26","0225","19","018","70","034","43"
"Yb","182","23","1817","12","19","83","160","38","1631","09","120","28","118","36","100","99","199","28"
"Lu","0251","23","02489","21","028","74","0246","39","0243","13","016","66","0165","38","014","84","0280","33"
"","aAllconcentrationsareinlg/gConcentrationswheretheRSDwashigherthan20%arenotreportedandaremarkedwithadashNovaluesarereportedwhentheblankrepresentedmorethan5%oftheelement","","","","","","","","","","","","","","","","",""
"measuredinthesamples;theseelementsaremarkwith*Relativestandarddeviation,%RSD5(standarddeviation/average)*100","","","","","","","","","","","","","","","","","",""
