"Formation","","Estratos de Qda. Vicuñita","","","","","","","","","","Lagunillas Formation","","","","","","",""
"Sample","PR-09-22","PR-10-31","PR-10-32","PR-10-33","PR-10-36B","PR-10-71","PR-10-72","PR-10-73","PR-10-80","PR-10-81","PR-10-94B","PR-10-120","PR-11-177","PR-11-178","PR-11-179","PR-11-188","PR-11-193","PR-11-202","PR-11-204"
"SiO2","52.20","54.15","52.33","59.62","51.28","46.24","45.26","47.47","48.11","52.01","45.45","54.76","54.55","74.25","48.07","43.79","72.40","51.91","51.71"
"TiO2","1.83","1.76","1.34","1.01","2.23","1.50","2.81","1.57","2.31","2.09","1.34","1.23","1.09","0.38","1.53","1.37","0.00","1.42","1.18"
"Al2O3","13.20","15.02","15.13","15.07","12.99","13.86","15.25","14.32","16.41","13.45","14.85","16.98","12.75","13.11","14.37","13.98","8.83","16.54","16.57"
"FeO(t)","10.50","9.02","9.70","5.46","12.40","10.77","10.88","10.19","10.37","8.86","9.61","6.42","6.05","0.73","8.92","8.61","1.16","9.18","8.87"
"MnO","0.24","0.14","0.14","0.10","0.27","0.15","0.14","0.14","0.14","0.11","0.11","0.07","0.10","0.05","0.11","0.09","0.07","0.21","0.14"
"MgO","5.75","4.02","5.23","3.29","6.41","9.27","6.99","11.24","4.43","6.70","2.49","1.11","2.83","0.49","8.70","4.61","0.77","5.52","4.02"
"CaO","8.14","5.56","7.47","3.72","8.50","7.07","7.66","12.67","6.88","7.31","12.25","8.40","15.76","2.38","14.43","17.53","4.33","7.41","7.32"
"Na2O","2.75","3.74","2.90","4.12","2.98","2.76","2.83","2.37","3.73","3.56","3.84","3.87","2.61","0.46","2.83","3.14","3.04","3.50","3.93"
"K2O","1.49","2.32","1.19","3.70","0.61","1.01","1.86","1.07","2.30","2.10","0.21","1.64","0.97","3.84","0.49","1.07","0.60","1.60","1.80"
"P2O5","0.58","0.38","0.29","0.34","0.48","0.25","0.66","0.59","0.83","0.52","0.19","0.26","0.61","0.04","0.37","0.55","0.05","0.53","0.79"
"LOI","","2.68","3.06","","","5.78","4.24","","3.12","","8.48","4.42","2.57","4.23","0.02","5.11","8.74","2.03","3.55"
"Total","96.68","98.79","98.78","96.43","98.15","98.66","98.58","101.63","98.63","96.71","98.82","99.16","99.89","99.96","99.85","99.86","100.00","99.86","99.88"
"#Mg","49.40","44.28","49.01","51.78","47.96","60.54","53.39","66.30","43.22","57.40","31.60","23.57","45.48","54.25","63.50","48.84","54.26","51.72","44.71"
"Rb","37.80","43.00","20.00","117.10","19.30","18.00","23.00","28.10","35.00","38.80","0.00","31.00","9.17","96.06","4.50","7.31","10.15","2.33","10.04"
"Cs","0.01","–","–","0.00","0.02","–","–","0.05","–","0.01","–","–","0.27","3.18","1.05","0.21","0.31","0.05","0.03"
"Pb","4.81","2.35","3.38","10.44","2.37","2.75","1.82","4.72","2.51","3.02","2.20","7.24","3.41","7.99","3.48","1.31","5.73","3.29","3.43"
"Ba","173.75","411.48","353.04","445.90","142.28","141.16","424.33","213.28","515.54","221.23","125.87","367.52","137.08","346.70","164.80","265.04","43.03","147.86","331.74"
"Th","–","4.16","3.77","17.20","–","1.65","3.44","15.10","4.93","1.60","1.41","2.95","0.61","12.94","0.86","0.80","0.64","2.65","2.05"
"U","1.33","1.34","1.12","3.71","0.92","0.57","0.83","0.70","1.63","1.45","0.44","0.69","1.60","1.69","0.63","0.52","1.27","0.65","0.62"
"Nb","2.10","7.56","5.49","3.80","1.46","18.88","55.53","8.38","63.75","13.91","12.60","7.75","0.65","10.55","3.15","1.79","13.16","0.37","19.50"
"Ta","0.09","0.86","0.38","0.14","0.06","1.12","3.43","0.28","3.96","0.41","0.80","0.47","0.05","0.43","0.16","0.02","0.84","0.01","0.97"
"Sr","232.22","818.00","550.00","904.85","293.37","440.00","963.00","855.72","858.00","329.36","320.00","486.00","693.34","34.95","573.93","288.21","29.95","433.64","577.18"
"Zr","220.38","252.00","186.00","238.62","138.00","117.00","258.00","147.50","321.00","257.72","108.00","207.00","191.00","95.79","87.67","40.09","94.26","114.02","117.65"
"Hf","–","5.94","5.01","–","–","2.85","5.87","–","6.85","–","2.51","4.44","3.23","3.63","1.91","0.67","3.59","2.35","2.61"
"Sc","23.00","–","–","13.50","24.60","–","–","0.05","–","20.70","–","–","15.77","11.63","14.24","11.42","9.90","1.53","7.43"
"V","384.50","306.35","334.24","132.30","502.80","174.78","165.29","177.90","127.97","160.00","142.85","175.61","48.07","41.04","95.56","110.99","16.16","61.67","58.25"
"Cr","18.70","22.91","32.92","36.80","13.70","295.51","160.33","340.30","74.18","58.10","172.69","9.49","116.55","0.89","162.51","88.29","4.64","0.17","2.02"
"Ni","13.58","22.00","25.00","22.00","9.48","223.00","117.00","138.61","65.00","44.42","124.00","11.00","5.24","3.51","2.79","4.58","3.06","8.75","2.50"
"Zn","115.49","166.00","96.00","76.54","125.12","115.00","95.00","111.58","115.00","115.66","105.00","37.00","38.39","78.06","56.05","46.68","42.67","57.12","71.06"
"Y","39.14","41.47","33.01","15.29","30.62","19.07","24.10","20.83","24.50","8.78","15.58","25.55","20.12","37.07","14.20","10.53","6.31","18.51","25.27"
"La","15.70","17.77","15.60","32.35","14.83","13.25","33.40","15.54","40.73","26.56","8.21","19.86","13.23","28.86","10.40","6.40","3.35","13.60","18.06"
"Ce","37.64","45.08","36.85","65.94","35.67","27.12","66.25","30.73","76.30","51.62","16.29","43.39","36.52","78.06","19.76","16.82","22.45","34.54","45.72"
"Pr","5.14","6.06","5.44","7.83","5.05","3.58","8.61","3.62","9.38","6.19","2.21","5.70","4.88","7.28","2.22","1.71","1.24","4.49","6.04"
"Nd","25.01","26.81","24.67","30.89","24.25","15.67","35.66","14.89","37.46","26.23","10.77","23.29","20.39","35.63","12.05","7.73","5.34","19.69","26.13"
"Sm","5.95","6.52","6.06","5.92","6.31","3.79","7.46","3.22","7.84","5.48","3.26","4.91","4.38","7.47","2.99","1.95","1.35","4.44","5.58"
"Eu","1.88","1.82","1.62","1.80","2.28","1.31","2.46","1.51","2.58","2.11","1.26","1.47","1.44","0.76","1.08","0.69","0.16","1.27","1.61"
"Gd","6.09","6.24","5.57","5.55","6.91","3.64","6.49","3.13","6.76","5.13","3.23","4.53","4.37","6.77","2.98","1.99","1.66","4.22","5.22"
"Tb","1.15","1.11","0.93","0.93","1.41","0.58","0.95","0.52","0.98","0.82","0.52","0.74","0.69","1.19","0.45","0.31","0.31","0.64","0.75"
"Dy","5.67","6.52","5.46","4.07","7.26","3.26","4.72","2.48","4.77","3.36","2.87","4.19","3.85","6.47","2.31","1.70","2.07","3.55","3.85"
"Ho","1.35","1.39","1.11","0.90","1.71","0.63","0.84","0.40","0.85","0.68","0.53","0.84","0.75","1.39","0.41","0.32","0.45","0.70","0.73"
"Er","3.43","3.88","3.10","2.71","4.20","1.69","2.07","1.04","2.13","1.85","1.35","2.33","2.10","4.06","1.06","0.84","1.33","1.92","2.03"
"Tm","0.54","–","–","0.35","0.69","–","–","0.12","–","0.21","–","–","0.28","0.58","0.13","0.11","0.19","0.25","0.26"
"Yb","3.01","3.67","3.12","2.21","3.79","1.48","1.70","0.67","1.74","1.25","1.11","2.32","1.83","4.03","0.81","0.70","1.27","1.67","1.67"
"Lu","0.52","0.59","0.47","0.34","0.66","0.22","0.24","0.10","0.24","0.18","0.16","0.35","0.27","0.58","0.11","0.10","0.18","0.24","0.24"
"ƩREE","113.11","127.46","110.00","161.78","115.03","76.22","170.85","77.94","191.76","131.67","51.77","113.92","94.98","183.14","56.76","41.38","41.36","91.23","117.87"
