"Samplenumber","Rb(ppm)","Sr(ppm)","87Rb/86Sra","87Sr/86Srb"
"Graniticgneisses","","","",""
"24","826","2773","08620","071452"
"24A","744","2311","09312","071501"
"23","944","1672","16289","071728"
"25","988","1001","28560","072202"
"38","1607","1163","39980","072571"
"38A","1291","901","41195","072634"
"22","2285","401","16447","077104"
"Plagiogneisses","","","",""
"29","495","6224","02300","070471"
"28","846","6116","04002","070599"
"28A","737","6038","03533","070541"
"30","1049","5023","06046","070709"
"31","797","2939","07848","070815"
