"Sample","Lithology","Zn","Sn","W","Mo","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu"
"MD-R-2","Monzodiorite","86","2.0","6","3","28.0","56","6.58","25.3","5.27","1.32","5.02","0.77","2.35","0.93","2.47","0.37","1.44","0.36"
"MD-R-3","Monzodiorite","64","2.0","4","3","29.4","58","6.85","26.6","5.56","1.51","5.36","0.70","2.63","0.97","2.51","0.38","1.44","0.35"
"M-N-57","Monzonite","57","2.0","2","3","20.6","43","5.90","23.8","5.90","1.37","6.18","1.04","3.65","1.30","3.64","0.57","1.88","0.63"
"M-N-67","Monzonite","50","2.0","1","4","27.3","56","6.82","26.8","5.70","1.19","5.59","0.81","3.64","0.94","2.77","0.42","1.60","0.36"
"M-N-76A","Monzonite","77","3.0","5","3","34.1","67","8.02","29.8","5.91","1.21","5.91","0.88","3.64","0.98","2.87","0.38","1.80","0.37"
"M-N-81","Monzonite","50","2.0","6","3","36.6","73","8.60","31.6","6.30","1.12","6.35","0.94","2.22","0.97","2.77","0.45","1.90","0.45"
"M-N-87","Monzonite","95","1.0","4","2","27.9","55","6.08","25.0","4.80","1.14","5.04","0.76","1.20","0.83","2.55","0.38","1.60","0.35"
"M-N-92","Monzonite","33","2.0","6","3","32.0","62","7.58","27.6","5.40","1.23","5.91","0.92","1.63","0.95","2.77","0.42","1.80","0.36"
"MZ-R-1","Monzonite","68","1.0","5","2","17.6","38","4.92","20.2","5.17","1.25","5.37","0.85","3.32","1.15","3.30","0.55","1.45","0.52"
"MZ-R-2","Monzonite","64","1.0","4","2","26.8","54","6.58","25.8","5.70","1.30","5.54","0.86","1.96","1.06","2.78","0.45","0.81","0.42"
"MZ-R-3","Monzonite","79","1.0","7","2","30.8","63","7.30","27.5","5.67","1.22","5.39","0.80","3.68","1.02","2.65","0.44","1.72","0.39"
"MZ-R-4","Monzonite","37","1.0","2","2","34.2","68","8.06","30.1","6.23","1.30","5.89","0.88","1.14","1.10","2.91","0.46","0.95","0.43"
"MZ-R-5","Monzonite","55","1.0","1","2","36.5","73","8.30","31.4","6.42","1.23","6.00","0.91","1.28","1.13","2.97","0.48","0.97","0.42"
"MZ-R-6","Monzonite","53","1.0","3","2","20.8","45","5.43","20.8","4.36","1.07","4.16","0.65","3.84","0.83","2.23","0.36","1.36","0.35"
"MZ-R-7","Monzonite","58","2.0","3","2","31.1","57","6.57","24.2","4.68","0.97","4.34","0.66","3.76","0.81","2.10","0.34","1.29","0.33"
"MZ-R-8","Monzonite","97","1.0","2","2","27.9","54","6.09","24.0","4.80","1.14","5.04","0.77","3.10","0.82","2.56","0.38","1.60","0.34"
"MZ-R-9","Monzonite","45","1.0","2","2","26.8","46","5.27","20.1","4.40","0.91","4.02","0.60","3.76","0.81","2.32","0.32","1.40","0.32"
"QM-N-10","Quartz monzonite","39","2.0","4","3","38.1","69","7.45","26.2","5.00","0.91","4.84","0.74","3.19","0.83","2.58","0.42","1.10","0.37"
"QM-N-32","Quartz monzonite","40","2.0","4","3","30.4","57","6.49","23.1","4.50","1.00","4.51","0.67","3.73","0.78","2.37","0.38","1.70","0.38"
"QM-N-49","Quartz monzonite","45","2.0","1","3","26.8","46","5.27","20.1","4.40","0.91","4.02","0.60","3.76","0.82","2.31","0.33","1.40","0.31"
"QM-N-86","Quartz monzonite","52","2.0","4","2","20.8","43","5.24","20.6","4.00","1.08","4.39","0.67","3.67","0.72","2.16","0.36","1.40","0.32"
"QM-N-91","Quartz monzonite","57","2.0","6","3","32.0","59","6.49","24.6","4.50","0.90","4.53","0.68","3.56","0.73","2.11","0.35","1.50","0.33"
