"Location","","Jingshan granodiorite","","","","","","","","","Huanglishan granodiorite","","","","","","",""
"Sample","JS-1","JS-3","","JS-4","JS-5","JS-9","JS-11","","JS-12","HLS01","HLS02","HLS-1","HLS-2","","HLS-3","","HLS-4","HLS-9"
"SiO2","69.14","71.68","","72.02","71.94","72.06","72.24","","72.42","70.58","71.20","70.36","71.12","","70.14","","69.88","72.53"
"Al2O3","15.07","15.17","","14.61","14.91","14.68","14.67","","14.96","14.83","14.76","15.48","15.39","","15.25","","15.79","14.86"
"TiO2","0.18","0.17","","0.18","0.17","0.16","0.17","","0.17","0.19","0.17","0.26","0.17","","0.28","","0.26","0.16"
"Fe2O3","0.80","1.52","","0.66","0.81","0.57","0.42","","0.50","1.11","0.82","1.02","0.69","","1.01","","1.00","0.72"
"FeO","0.86","nd","","0.69","0.67","0.81","0.77","","0.76","0.98","1.01","1.17","0.86","","1.29","","1.22","0.82"
"CaO","1.99","1.75","","1.69","1.99","1.82","1.82","","1.74","2.38","2.48","2.73","2.53","","2.65","","2.85","2.17"
"MgO","0.43","0.48","","0.43","0.43","0.43","0.43","","0.44","1.00","0.43","0.82","0.50","","0.84","","0.80","0.52"
"K2O","5.02","3.81","","4.07","4.11","3.84","3.84","","3.87","4.00","3.74","3.33","3.62","","3.29","","3.22","3.59"
"Na2O","4.54","4.43","","4.46","4.46","4.20","4.20","","4.28","4.15","4.27","4.05","4.28","","4.13","","4.13","4.01"
"MnO","0.01","0.02","","0.02","0.02","0.03","0.02","","0.02","0.03","0.03","0.04","0.03","","0.03","","0.03","0.03"
"P2O5","0.07","0.06","","0.08","0.07","0.07","0.07","","0.07","0.07","0.08","0.09","0.05","","0.09","","0.10","0.07"
"LIO","1.18","0.57","","0.30","0.35","0.41","0.38","","0.40","0.46","0.44","0.53","0.26","","0.45","","0.49","0.42"
"Total","99.29","99.66","","99.21","99.94","99.08","99.03","","99.64","99.78","99.43","99.89","99.51","","99.45","","99.77","99.89"
"A/CNK","1.02","1.17","","1.10","1.10","1.15","1.15","","1.17","1.11","1.11","1.21","1.16","","1.19","","1.23","1.19"
"Mg#","32.9","38.7","","37.6","35.6","36.9","40.3","","39.6","47.6","30.7","41.4","37.8","","40.7","","40.4","38.9"
"Cr","13.3","5.37","","13.6","7.88","3.39","5.82","","3.13","6","13.9","7.37","3.99","","636","","7.44","3.18"
"Ni","6.37","2.45","","2.37","3.43","2.36","2.41","","1.3","4.07","7.33","4.67","2.73","","221","","4.77","2.51"
"Rb","105","114","","111","126","114","120","","120","92.5","91.5","96.7","99.2","","85.4","","89.4","96.5"
"Sr","781","535","","554","594","570","560","","570","587","596","606","562","","639","","685","498"
"Y","7.95","6.99","","5.61","6.19","5.54","5.64","","5.64","5.00","5.48","7.44","6.03","","6.05","","5.58","5.08"
"Zr","175","145.6","","143","151","135","133","","134","86.7","102","163","120","","158","","154","92.7"
"Nb","9.78","9.44","","9.27","9.61","8.86","8.94","","8.9","6.14","6.53","8.58","6.97","","6.48","","6.14","1.97"
"Cs","1.41","2.02","","1.22","1.53","1.33","1.46","","1.39","2.29","2.39","2.92","1.72","","2.97","","2.05","2.87"
"Ba","2202","1993","","1865","2100","1962","1950","","1960","2749","2427","2599","2366","","2486","","2629","2627"
"La","42.2","31.2","","30.3","33.2","31.8","30.7","","31","28.2","33.9","43.2","38.2","","47.2","","36.6","27.1"
"Ce","67.8","50.6","","47.5","52.2","52.5","49.7","","50.6","46.4","55.5","70.2","61.9","","75","","59.3","44.7"
"Pr","6.78","4.97","","4.83","5.17","4.99","4.86","","4.88","4.49","5.3","6.6","5.79","","7.05","","5.54","4.45"
"Nd","23.2","17.3","","16.5","17.5","17.1","16.7","","16.8","15.4","18.0","22.1","19.2","","23.3","","18.6","15.3"
"Sm","3.31","2.59","","2.36","2.5","2.49","2.45","","2.45","2.12","2.34","3","2.57","","2.93","","2.48","2.14"
"Eu","0.86","0.72","","0.63","0.64","0.71","0.7","","0.71","0.75","0.77","0.83","0.81","","0.85","","0.86","0.61"
"Gd","2.02","2.03","","1.44","1.47","1.89","1.87","","1.87","1.32","1.48","2.34","2","","2.24","","1.93","1.61"
"Tb","0.25","0.24","","0.18","0.19","0.21","0.21","","0.22","0.16","0.18","0.27","0.22","","0.24","","0.21","0.18"
"Dy","1.44","1.13","","1.05","1.10","1.03","1.06","","1.05","0.90","0.98","1.38","1.13","","1.15","","1.05","0.92"
"Ho","0.24","0.21","","0.17","0.17","0.17","0.17","","0.17","0.16","0.18","0.24","0.2","","0.2","","0.18","0.16"
"Er","0.58","0.53","","0.43","0.46","0.45","0.49","","0.47","0.42","0.45","0.71","0.57","","0.57","","0.51","0.47"
"Tm","0.09","0.08","","0.06","0.06","0.07","0.07","","0.07","0.07","0.07","0.1","0.08","","0.08","","0.07","0.07"
"Yb","0.63","0.51","","0.41","0.43","0.43","0.47","","0.45","0.44","0.48","0.72","0.55","","0.58","","0.51","0.49"
"Lu","0.09","0.08","","0.06","0.06","0.07","0.07","","0.07","0.07","0.08","0.11","0.08","","0.09","","0.08","0.08"
"Hf","3.60","3.58","","3.38","3.53","3.51","3.48","","3.49","2.08","2.39","4.02","3.01","","3.7","","3.59","2.54"
"Ta","0.70","0.80","","0.80","0.83","0.79","0.81","","0.8","0.42","0.47","0.71","0.5","","0.56","","0.41","0.14"
"Pb","34.4","44.5","","44.2","49.3","46.2","46.9","","46.2","39.8","39.1","40.9","48.1","","39","","41.3","46.8"
"Th","11.0","9.95","","7.73","8.20","8.3","8.09","","8.07","5.73","6.29","10","8.09","","6.44","","6.13","7.26"
"U","2.07","3.01","","2.86","2.88","2.75","2.76","","2.8","2.04","1.89","1.71","1.13","","1.19","","1.11","1.55"
"Sr/Y","98.2","76.6","","98.8","96.0","102.9","99.3","","101.1","117.4","108.8","81.5","93.2","","105.6","","122.8","98.0"
"(La/Yb)N","48.0","43.8","","53.0","55.4","53.0","46.9","","49.4","46.0","50.7","43.0","49.8","","58.4","","51.5","39.7"
"(Dy/Yb)N","1.53","1.48","","1.71","1.71","1.60","1.51","","1.56","1.37","1.37","1.28","1.38","","1.33","","1.38","1.26"
"Location","","Changhuaiwei granite","","","Bengbu maﬁc dykes","","","","","","","","","","","","",""
"Sample","CHW-1","","CHW-3","","04JS-d1","04JS-d2","","04JS-d3","","JS-d1","JS-d2","JS-d6","","JS-d7","","JS-d8","","HLS-d3"
"SiO2","75.02","","74.40","","44.20","44.80","","45.70","","42.12","43.08","44.96","","43.62","","45.18","","49.9"
"Al2O3","13.20","","13.10","","15.69","15.48","","16.18","","14.68","14.9","16.08","","15.02","","16.16","","17.18"
"TiO2","0.09","","0.12","","1.76","1.80","","1.31","","1.29","1.40","1.48","","1.65","","1.45","","1.78"
"Fe2O3","0.55","","0.58","","3.46","3.46","","3.79","","3.29","3.8","3.32","","3.18","","2.85","","3.80"
"FeO","0.48","","0.60","","6.28","6.59","","6.75","","6.37","6.25","6.63","","6.44","","6.85","","6.34"
"CaO","1.07","","1.15","","10.56","10.86","","10.18","","11.15","10.45","10.8","","10.10","","11.07","","7.55"
"MgO","0.43","","0.43","","7.86","7.50","","7.32","","8.15","8.68","7.73","","8.77","","7.43","","4.50"
"K2O","4.56","","4.37","","2.56","1.99","","1.18","","1.54","1.21","1.75","","0.93","","1.44","","2.36"
"Na2O","4.04","","4.15","","2.48","2.79","","3.06","","2.55","2.95","2.76","","2.82","","3.1","","3.81"
"MnO","0.03","","0.05","","0.18","0.18","","0.20","","0.16","0.16","0.20","","0.17","","0.19","","0.15"
"P2O5","0.13","","0.05","","0.65","0.70","","0.59","","0.52","0.58","0.74","","0.64","","0.63","","0.88"
"H2O+","0.31","","0.10","","1.20","0.91","","1.92","","2.72","2.65","1.07","","3.30","","1.31","","0.74"
"H2O−","0.18","","0.16","","0.32","0.22","","0.19","","0.27","0.32","0.21","","0.28","","0.27","","0.15"
"LIO","0.41","","0.44","","3.73","2.99","","3.16","","7.38","5.81","2.84","","6.21","","3.27","","1.42"
"Total","100.0","","99.44","","99.41","99.50","","99.42","","99.2","99.27","99.28","","99.54","","99.63","","99.67"
"Mg#","44.3","","40.8","","60.1","58.2","","56.5","","61.1","61.8","59.1","","62.9","","58.7","","45.4"
"Cr","1.81","","8.23","","92","88","","84","","139","132","76","","163","","82","","98"
"Ni","1.15","","26.5","","87.3","86.6","","67.4","","97.8","96","66.9","","130","","70.2","","66.1"
"Rb","198","","190","","102.6","62.5","","32.9","","62.9","50","57.7","","41.18","","46","","45.7"
"Sr","150","","142","","852","914","","990","","692","731","963","","891","","943","","877"
"Y","13.9","","9.57","","29.8","30.4","","28.8","","26","26.3","30.3","","28","","28.1","","29.2"
"Zr","78.6","","109","","166","167","","177","","146","149","172","","149.2","","171","","176"
"Nb","22.2","","17.5","","20.3","20.1","","21.3","","16.5","17.3","20.2","","17.7","","20","","21.4"
