"Location","","Changhuaiwei granite","Bengbu maﬁc dykes","","","","","","","",""
"Sample","CHW-1","CHW-3","04JS-d1","04JS-d2","04JS-d3","JS-d1","JS-d2","JS-d6","JS-d7","JS-d8","HLS-d3"
"Cs","2.58","3.28","4.78","5.60","1.53","4.28","2.57","4.5","1.76","3.1","2.35"
"Ba","483","443","1179","1204","1230","839","788","1186","711","1169","1101"
"La","22.0","19.8","56.0","56.0","56.9","50.8","52.0","58.7","50.9","53.7","56.2"
"Ce","39.8","36.1","114","116","119","108","110","124","107","113","118"
"Pr","4.22","3.88","13.8","14.0","13.6","12.6","12.8","14.4","13.0","13.0","13.7"
"Nd","15.2","13.8","56.9","58.1","56.1","53.4","53.7","59.9","54.7","54.1","56.5"
"Sm","2.88","2.54","10.00","10.22","9.84","9.51","9.55","10.60","9.74","9.69","9.99"
"Eu","0.41","0.36","2.94","2.83","2.75","2.55","2.50","2.90","2.62","2.69","2.71"
"Gd","2.28","1.66","8.23","8.48","7.61","7.28","7.31","8.32","7.96","7.49","7.87"
"Tb","0.34","0.23","1.06","1.09","1.02","0.96","0.97","1.10","1.03","1.01","1.04"
"Dy","2.08","1.42","5.65","5.84","5.33","4.98","5.01","5.87","5.42","5.26","5.59"
"Ho","0.40","0.25","1.11","1.14","1.02","0.93","0.93","1.07","1.04","1.00","1.03"
"Er","1.10","0.70","2.87","2.96","2.82","2.56","2.56","2.94","2.61","2.73","2.83"
"Tm","0.19","0.11","0.39","0.40","0.39","0.35","0.35","0.42","0.36","0.38","0.40"
"Yb","1.32","0.82","2.59","2.63","2.58","2.24","2.26","2.67","2.33","2.49","2.62"
"Lu","0.21","0.13","0.38","0.39","0.39","0.33","0.33","0.39","0.35","0.37","0.39"
"Hf","2.90","3.43","3.39","3.44","3.42","3.00","3.03","3.41","3.17","3.33","3.48"
"Ta","2.22","1.23","1.22","1.21","1.15","0.91","0.95","1.12","1.08","1.10","1.17"
"Pb","70.6","58.8","11.72","4.54","4.28","3.48","5.66","4.25","6.07","4.48","10.50"
"Th","19.3","16.8","7.20","7.01","7.77","5.84","6.17","7.09","6.25","7.05","7.24"
"U","6.67","5.95","1.48","1.46","1.49","1.19","1.24","1.45","1.29","1.45","1.55"
"Nb/U","3.33","2.94","13.8","13.8","14.3","13.9","14.0","13.9","13.7","13.8","13.8"
"Ce/Pb","0.56","0.61","9.8","25.5","27.8","31.0","19.4","29.2","17.6","25.2","11.2"
