"Sample","Age(Ma)","Phase","87Sr/86Sr","","87Sr/86Sri","","143Nd/144Nd","Qz/AF6180(%0)"
"E01-3a","1056","WR","0705537_+10","","0705411","","0512654±5",""
"","","AF","0705445_","10","0705363","","",""
"E01-14a","356","WR","","","","","0512569±6",""
"E-01-26","254","WR","","","","","0512778±5","+569"
"E01-18","1014","WR","","","","","0512797±6",""
"","","WR","","","","","0512794±4",""
"","","","","","","mean","0512796",""
"","","AF","0704893±16","","0704814","","",""
"E01-40","662","WR","","","","","0512815+4","+456"
"","","AF","0706508±10","","0706429","","",""
"E01-42","1001","WR","","","","","0512834±5",""
"","","WR","","","","","0512826±4",""
"","","WR","","","","","0512834±4",""
"","","","","","","mean","0512831",""
"EEW02-21","1167","WR","","","","","0512658±4","+636"
"","","WR","","","","","0512652_+5",""
"","","","","","","mean","0512655",""
"EEW00-23","1976","WR","","","","","0512762±4","+469"
"EEW00-33","2552","WR","0708968±10","","0704594","","0512768_5",""
"","","AF","0705355±9","","0705156","","",""
"EEW00-34","2552","WR","0706879±12","","0705054","","0512769_+4","+557"
"","","AF","0705275+10","","0705076","","",""
"EEW00-43","1976","AF","070579±10","","0705636","","","+537"
"EEW00-44","1976","WR","0708496-t-12","","0705971","","0512720+__4",""
"HS01","781","WR","","","","","0512538___5",""
"HS02","798","WR","","","","","0512708±5",""
