"","","Vestfold,Holmestrandprofile","","","","","","Krokskogen"
"","","","","","","","","Aph"
"","co","PC0","PC0","PC0","PC0","PC0","",""
"","","","","","","","","OB87"
"","OB102","OBlOl","OBlOO","OB99","OB98","0B97","0B96",""
"Major","elements(wt%)","","","","","","",""
"SiO,","4606","4451","4530","4503","4778","4795","4716","4858"
"TiO*","448","303","466","336","326","245","244","247"
"AW,","755","1287","1003","812","938","1605","1121","1352"
"Fe,O;","1423","1325","1478","1511","1414","1151","1381","1447"
"MnO","016","020","020","019","019","016","028","016"
"MgO","1171","918","749","1140","918","583","830","752"
"CaO","1071","1138","1097","1184","1088","871","1191","827"
"Na2O","134","231","211","153","230","374","235","228"
"K2O","129","114","194","161","172","199","112","085"
"p2°5","050","058","072","058","060","048","042","039"
"LO1","089","028","050","","","","",""
"Sum","9892","9873","9870","9877","9943","9887","9900","9851"
"Normqtz","_","_","_","-","","_","_","168"
"Normne","043","221","","019","_","361","_",""
"Traceelements(ppm)","","","","","","","",""
"SC","332","232","272","329","282","185","433","292"
"Cr","876","330","403","769","551","111","304","125"
"co","445","547","567","677","600","412","550","460"
"Ni","262","68","149","275","163","34","57","65"
"Rb","248","145","450","287","285","629","182","271"
"Sr","174","2390","1002","921","778","1452","573","691"
"Y","268","194","411","309","361","206","304",""
"Zr","282","218","402","252","283","201","179","162"
"Sb","011","015","013","013","015","006","002",""
"cs","048","131","025","043","024","168","249","103"
"Ba","438","1139","410","439","447","556","326","397"
"La","580","608","791","597","580","440","364","242"
"Ce","1177","1057","1484","1108","110","824","728","452"
"Sm","109","95","164","111","98","71","79","77"
"Eu","33","29","44","35","32","23","23","22"
"Tb","103","086","139","103","115","076","088","132"
"DY","63","43","80","57","65","45","","47"
"Yb","19","11","23","22","19","14","21","28"
"LU","025","018","036","027","027","022","033","039"
"Hf","98","75","108","98","99","67","57","58"
"Ta","462","451","462","438","437","305","258","095"
"Th","609","482","805","506","635","429","306","201"
"U","20","15","15","090","21","12","085","047"
"Pb","","","","","","","","524"
