"MiniMinecraft(n=3)","LLMPredicts?","Library?","MiningCraftingCompositional"
"Low-levelPlanningOnly","Goal","✗","31%(σ=00%)9%(σ=00%)9%(σ=00%)"
"SubgoalPrediction","Sub-goals","✗","33%(σ=16%)36%(σ=56%)6%(σ=17%)"
"CodePolicyPrediction","Sub-policies","✓","15%(σ=12%)39%(σ=32%)10%(σ=17%)"
"Ada(Ours)","Goal+Operators","✓","100%(σ=00%)100%(σ=75%)100%(σ=41%)"
"ALFRED(n=3replications)","LLMPredicts?","Library?","Original(Simple+CompositionalTasks)"
"Low-levelPlanningOnly","Goal","✗","21%(σ=10%)"
"SubgoalPrediction","Sub-goal","✗","2%(σ=04%)"
"CodePolicyPrediction","Sub-policies","✓","2%(σ=09%)"
"Ada(Ours)","Goal+Operators","✓","79%(σ=09%)"
